"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-0.114887308321627,0.00869597363534375,438,-13.2115520514783,0
"ns - rec",0.0400358116441773,0.0090609508176467,438,4.41850005037058,3.72676082985857e-05
"prim - rec",0.154923119965804,0.00855730407781352,438,18.1041971346411,0
