"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",244.287049524248,119.82213198184,1766,2.03874731223503,0.103349629669415
"ns - rec",-803.623902167838,124.805938391142,1766,-6.43898769984229,4.71048755557035e-10
"prim - rec",-1047.91095169209,117.749745573818,1766,-8.89947529470577,7.32991445318021e-12
