"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",0.0823454259789393,1,2.27948499794616,0.131890856618921
"strategy",0.177232710885143,2,2.45307678480733,0.0873316034813024
"l_length",0.118723395263052,4,0.821624866196499,0.511916626019705
"pres_rate",0.0508947504349706,1,1.40886781155763,0.235954193867511
"strategy:l_length",0.298502738724808,8,1.0328936104828,0.410394329429946
"strategy:pres_rate",0.00230753775799819,2,0.0319386149201323,0.968568524184606
"Residuals",14.3414561372827,397,NA,NA
