"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-654.357375891124,258.950239922826,438,-2.52696184443057,0.031743784151395
"ns - rec",1610.52155058729,269.818594967002,438,5.96890496292241,1.47767483804628e-08
"prim - rec",2264.87892647842,254.820913328908,438,8.88812027588585,0
