"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-0.0632077096472252,0.0152343159632293,438,-4.14903496814612,0.000118652823932863
"ns - rec",0.0888367457576038,0.015873712763143,438,5.59646927490542,1.15702685432595e-07
"prim - rec",0.152044455404829,0.0149913833207809,438,10.142123121758,0
