condition,l_length,pres_rate,t_stat,p_val,dof,p_val_fdr
10-2,10.0,2000.0,-15.821251124350205,1.1940065049571704e-24,69,3.5103791245740805e-24
15-2,15.0,2000.0,-15.831155142413849,5.219385319824503e-28,92,4.588972690514249e-27
20-1,20.0,1000.0,-16.52430685333277,1.1025956710704926e-25,69,4.0520390911840595e-25
20-2,20.0,2000.0,-16.693290893544535,1.2454821704673298e-26,73,6.102862635289915e-26
30-1,30.0,1000.0,-14.497288767474931,1.8860885076638245e-23,75,4.6209168437763694e-23
40-1,40.0,1000.0,-17.69689863329854,6.243500259203061e-28,72,4.588972690514249e-27
