"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-0.405992079832843,0.0255718446089004,438,-15.8765269397709,0
"ns - rec",0.214334632048274,0.0266451160081734,438,8.04404949794654,0
"prim - rec",0.620326711881118,0.0251640655003329,438,24.6512914168385,0
