subject,strategy,condition,l_length,pres_rate,rot_7,rot_6,rot_5,rot_4,rot_3,rot_2,rot_1,rot_0
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,,,,,1324.107443202761,1280.4400081536405,1834.0996022689974,2679.307767843774
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,,,,,6418.809523809523,5742.123214285714,5617.958333333333,5609.287202380952
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,,,,,3763.917020177329,3942.981856069104,4400.484949478959,5046.074999996523
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,,,,,4903.275000000001,3728.5269841269846,5873.464285714286,7187.913492063492
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,,,,,3491.514583336603,4422.640416650598,4578.019166675583,5103.939732154831
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,,,,,4381.230714303421,4268.808928571216,4699.853282831338,7362.093402787112
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,,,,,3815.3333333333335,3510.2333333333336,4851.619047619048,4217.291666666667
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,,,,,5471.25,5626.166666666666,5384.083333333333,4942.0625
A489K1IFOM4JW,prim,10-2,10.0,2000.0,,,,,3913.14375,5372.702777777778,4515.906204906205,3224.4628427128428
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,,,,,2601.3611111111113,2067.661111103164,2098.2777777810893,3135.506250008113
A55MEA9LQASZH,rec,10-2,10.0,2000.0,,,,,6725.42881945024,4261.56875000534,5066.840476193155,5435.702500057097
A5P12YJP805RG,rec,10-2,10.0,2000.0,,,,,1749.3559027698004,2825.5788888527286,2999.906691949928,5263.037792190484
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,,,,,2895.695535714073,4195.77187499741,2926.7886904729976,8694.189136905417
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,,,,,8483.75,7630.0,9566.0,10564.25
AEP8U373W5Q54,prim,10-2,10.0,2000.0,,,,,3187.431250035763,2967.8359524000257,3308.627840858517,4027.717708378037
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,,,,,4703.091765873016,4898.114646464646,4609.325,4714.176388888889
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,,,,,3863.101219345496,4042.263055526093,4187.345435593888,3981.9396103912627
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,,,,,6367.558333357176,6086.941666662693,5753.7309523707345,5814.600000023842
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,,,,,6059.649999999969,5730.371645021786,5461.226250000395,8821.691111111093
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,,,,,5005.038541669473,5585.240151520012,5896.850277776065,5496.40438762664
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,,,,,4279.8694444444445,6314.325,4227.4047619047615,4836.473214285714
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,,,,,1952.636349219415,1975.1819047522924,3518.9147519699936,3807.092460321576
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,,,,,2355.4999999801316,2879.913333368301,2702.587500015895,2477.7785713814555
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,,,,4709.63964286253,4700.676031735114,7917.178968278189,6692.004513895346,12528.730000019073
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,,,,4730.152500006143,5018.570089280483,6080.24900793902,6060.787410717422,5707.236458324905
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,,,,4059.3249999682107,4154.580555677414,2333.68888897366,3689.650000148349,2832.824999809265
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,,,,2891.9180555555554,3197.5619047619048,2771.4863095238097,5898.733333333334,9548.211904761905
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,,,,3377.6170454545454,3552.511363636363,3521.10404040404,3404.340277777778,3255.554166666667
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,,,,3660.507499979188,4002.6662499742115,5018.339880911633,5176.860416676228,5146.9041666462845
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,,,,5390.12748015873,5050.311507936508,4466.715277777777,4583.351388888889,4906.29375
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,,,,4331.1727777609285,5397.70407738713,4270.0493506602,5076.981746031938,6330.125357120245
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,,,,2865.647619054431,3160.952380918321,3819.7452380543664,6203.458333323399,10667.923333350818
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,,,,2165.336363636364,2174.1698863636366,2845.9416035353534,3409.8300865800866,5706.2485119047615
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,,,,5293.578174603174,4257.597222222223,4260.7375,5773.563392857143,5642.458333333334
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,,,,4112.6812500455635,4576.078333305807,4332.111964269452,3847.2071428569798,4485.159097249084
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,,,,4993.057499940196,4420.822569474578,4323.906696486331,5431.016319423914,12728.916904801416
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,,,,4297.744583325337,5916.999583333234,5906.461666666964,5079.522083331893,13192.303749994684
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,,,,4335.895833333333,4198.411706349207,4718.875,3815.026984126984,3913.9836309523807
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,,,,1958.4318181862209,1924.9727272987366,4035.7499999740076,3201.2749999904077,13068.085555552887
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,,,,2360.9222727342762,2925.3247727268117,4274.936022726328,4564.398611112912,10188.520486111029
A1OW27AZS122X2,ns,20-1,20.0,1000.0,,,,4770.870517682652,4638.774080088004,4352.138573235465,4716.622638886898,5171.096685612927
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,,,,2656.1666666666665,3783.8333333333335,3363.944444444445,3743.5,1788.5
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,,,,5210.33027780056,3975.236904726142,4692.235833330949,5147.127857126508,4729.229999962449
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,,,,1547.4908333385983,1921.4337500060599,2285.7602380908315,2061.2175000049174,2019.233839286305
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,,,,5306.1565972427525,4722.4247159118,5097.150252532402,4389.382701997354,4509.819444427963
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,,,,1893.6841666626642,1787.4074999916056,2792.44236111583,2310.8025000058115,3599.452083343433
