subject,strategy,condition,l_length,pres_rate,rot_7,rot_6,rot_5,rot_4,rot_3,rot_2,rot_1,rot_0
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,,,,1634.0887499977969,1820.7795833331222,1720.4635714243034,2252.6266071411915,4792.639583333395
A35VI4SE31HD17,prim,15-2,15.0,2000.0,,,,5354.5468750015325,7316.306250005185,5936.335476188148,5356.0976190492065,6737.098333330313
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,,,,5221.641666666667,6310.96130952381,6967.397321428572,6243.973214285714,5918.016666666666
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,,,,4529.419791549444,4746.585218183578,5003.21736111972,5873.218333343664,6622.101875007153
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,,,,3965.9427083469927,4011.9124999617534,3516.3447916544974,4838.672916664432,4621.9645833186805
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,,,,4055.5,6947.5,,3290.0,3966.5
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,,,,5753.8049206473,5064.2012500089595,5117.716666658409,6039.372767879451,4579.194166650809
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,,,,3944.5,4652.554166666667,5227.479166666666,4793.033333333334,5475.4375
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,,,,3010.674999833107,2917.324999809265,2434.3166664441424,4839.000000119209,2613.483333190282
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,,,,1789.758333325386,1602.321428520339,1876.9999999801319,2174.292857170105,2752.785714319774
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,,,,4246.375535700577,3403.0560714361213,3254.082499983907,3610.5804166572434,3647.316666662693
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,,,,3897.2410714285716,3718.299107142857,4247.559027777777,3780.216765873016,4125.276785714286
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,,,,4686.6,5145.962797619048,4924.0794642857145,5277.383333333333,4558.325
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,,,,5980.929166666667,4178.066071428571,3939.7206349206353,4923.8083333333325,7414.1375
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,,,,3511.143750017043,3376.4450000108536,3545.5374999994724,3752.3400000229476,3905.2333333243923
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,,,,2712.25,6810.333333333333,4778.375,13874.5,4951.25
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,,,,5500.333333333334,6233.458333333333,7125.708333333333,6515.444444444444,6739.166666666667
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,,,,4249.95,4289.651785714285,4005.630357142857,3975.4214285714284,4566.183333333333
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,,,,5287.235416666666,5235.702777777778,4882.635714285715,4947.983333333334,7853.784523809524
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,,,,5563.978472194738,5679.113541687528,5753.540773786249,7407.463839296784,9136.269097230856
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,,,,6276.305952371586,4271.852083364294,4555.724246026977,5052.4564015172655,5708.944375006606
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,,,,4911.58869047619,4807.083333333333,5222.116666666667,5316.349999999999,5340.258333333333
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,,,,2491.9166666666665,2455.5396825396824,3539.6111111111113,6813.571428571429,11297.5
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,,,,3624.3017361190996,3573.290228160837,3862.6231249988077,4091.553124997765,3896.046527792596
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,,,,5523.517727251487,5881.256969752456,4673.381666598718,5249.243371186834,6625.180681857557
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,,,,5379.649553567844,5595.822916660613,5796.736904806359,5497.6663888807925,6108.354880951097
AERGHZBQFT309,ns,15-2,15.0,2000.0,,,,2628.338901509909,3241.6319805325547,4495.549867420565,6696.425238095485,17054.467272714595
AESZJEZTZEW01,ns,15-2,15.0,2000.0,,,,4218.100000047683,12604.909999918938,3991.9749998748302,4842.799999969346,3276.0999999841056
AEX1I7K7OVHHC,rec,15-2,15.0,2000.0,,,,5132.416666666667,4317.069444444444,4463.476190476191,4340.436507936508,4051.8333333333335
AEXRVIK8SKB4V,prim,15-2,15.0,2000.0,,,,4096.529166618983,4638.550000064075,4580.5666666987045,4410.512499967977,4640.0833332056645
AF0W4ZBY7VXOU,rec,15-2,15.0,2000.0,,,,2856.081101197498,3846.9270833274354,3865.8588888928293,3914.1303409027396,10596.266964280047
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,,,,3053.625,3723.216666658719,4370.5874999165535,4737.899999976158,4642.183333357175
AGANKP4PUZ4NC,prim,15-2,15.0,2000.0,,,,3527.7181817835026,4217.549999976158,4561.391666630904,4412.241666654746,4301.563636367971
AHY3YAYJLTW32,rec,15-2,15.0,2000.0,,,,1942.4791666666665,2250.5625,3654.854166666667,7018.729166666667,16487.3125
AL9SYQEUTNJXT,prim,15-2,15.0,2000.0,,,,5098.112380954764,5132.285714298487,4611.12261904847,4879.769682541111,5156.670000006258
ALDQRWYZ8KQ9A,rec,15-2,15.0,2000.0,,,,2202.2777777779847,3347.6000000008694,4145.966666667412,3972.466666666998,18619.71111111198
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,,,,1358.5627678385802,1266.342053544947,1479.5410416762033,1686.5933333526054,2221.5872023808106
AOIR8V07FYMH5,rec,15-2,15.0,2000.0,,,,2416.35458333314,2418.8018181839534,2684.860113641704,3047.1091666705597,4814.876931825668
AR0VJ5XRG16UJ,rec,15-2,15.0,2000.0,,,,5303.75,5512.25,6872.041666666666,5069.5,4357.7
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,,,,2591.174999999969,3188.62107142869,4930.337499999806,4636.230833333297,3814.103333333678
AW2UVK63OLFW,ns,15-2,15.0,2000.0,,,,3014.671666640705,3740.50956344349,3838.365773766523,3293.371250019967,3742.848809555173
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,,,,3499.3253968250956,3791.7784090894697,4454.082341270185,7274.558238635945,10419.46875000331
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,,,,3542.9357142857143,2792.9400793650793,3416.06875,3257.1190476190477,3626.2086309523806
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,,,,4175.270833333334,3560.089285714286,3762.5131944444447,3770.996527777778,3934.109523809524
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,,,,3459.7089285714283,3804.297619047619,3824.2395833333335,3938.6145833333335,3619.2083333333335
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,,,4464.080079378211,5299.169444459015,4757.482222227373,5896.817341277122,6462.071874982677,5372.213492043612
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,,,4251.950000000361,3403.374999999942,4341.050000000512,5835.249999999418,4477.75,3672.375000000058
A16335MOISDG1F,rec,30-1,30.0,1000.0,,,1893.9749999998294,2061.7296212121887,2555.174999999883,3954.306944444392,6037.599810606111,9343.707500000033
A17FJLW818UEQU,rec,30-1,30.0,1000.0,,,3372.9474747474746,3409.636363636364,3748.933333333333,3905.001683501683,3583.288888888889,4448.990740740741
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,,,3719.609821428545,4568.0374999999385,4360.311111110821,3905.816666666522,5653.104166666666,4205.414285714871
A1AS1H21O9896X,ns,30-1,30.0,1000.0,,,4489.321875013908,5990.369523801832,5807.627083337556,5237.332380944206,4928.0449404759065,6992.1952381038245
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,,,5391.760416666667,5096.090476190477,4606.714285714285,4840.144841269841,4791.555555555556,4929.378968253968
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,,,6679.832196969696,7028.943560606061,7199.133838383838,6633.75,7868.925252525252,7742.486363636363
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,,,2431.804166665611,1886.175000000745,2221.1749999988824,2930.672222222305,5167.824999999255,2689.3541666607684
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,,,4034.733901515151,3547.286931818182,3933.583333333334,3723.0069444444443,3752.7959956709956,4587.073051948052
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,,,4368.029166666667,5145.041666666666,4539.907142857142,4862.4077380952385,5046.0603174603175,4537.416666666667
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,,,2900.742013894849,4458.238333312173,3654.862569452953,4589.682638872984,4001.1513194539066,4848.6084027903835
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,,,3497.989583333333,4754.329861111111,4127.40625,4465.110317460318,4695.658333333333,6378.10119047619
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,,,4180.391666665829,3801.850000000248,3696.0833333333335,5590.758333332371,3425.737500000745,2876.3000000001243
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,,,4682.0209595959595,2375.7993055555557,4067.7368686868685,6700.739393939394,7676.998484848485,9232.744191919192
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,,,5044.387500025332,4155.075000037749,5079.662499979138,3344.350000053644,6211.8749999552965,7338.7166666885205
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,,,1611.2074999987547,1936.7041666644316,1951.58239087764,3274.8019047598045,3417.921249990993,7027.384375002235
A1T2P6E67251U5,prim,30-1,30.0,1000.0,,,3722.368749856949,3627.641666630904,3225.75,2700.854166607062,3689.9333333174386,3286.5999999940395
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,,,4505.413105998392,5206.66624996447,5293.407070681528,6749.34646471507,5428.923566060601,6985.596644946071
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,,,4397.583333333334,7857.541666666666,2847.875,3818.875,4852.458333333333,6447.875
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,,,7337.861111111111,5711.666666666666,5271.020833333333,6558.833333333334,7253.35,6436.5
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,,,4473.433333330685,4055.033333361149,2827.1875000298023,4144.033333341281,3785.9166666785877,3393.7055555317133
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,,,5708.170634920635,5435.017361111111,5700.4125,6043.6194444444445,5310.728571428572,5439.438194444444
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,,,5547.282341269841,7210.778571428572,6262.597222222223,5350.285714285714,5785.194444444444,6026.7375
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,,,4087.982142857143,4350.339285714286,5563.182467532468,4450.662987012987,4168.329861111111,6825.666666666666
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,,,5771.061111111111,5588.090277777777,7349.702922077922,5215.703571428572,5783.652777777777,4569.03125
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,,,1642.7185714278312,1613.8566666660743,1573.1995238108295,1732.1289682552099,1930.1031746041429,2017.1483333328117
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,,,2947.050000000745,1886.4000000022352,2432.199999999255,5316.4000000003725,,3104.900000002235
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,,,5901.3754545454,6020.284469696778,6168.862499999815,6765.531363636797,7556.012121212229,10422.811919191607
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,,,4095.449999650319,2506.475000143051,2820.250000476837,3721.0666666030884,5265.333333651224,2945.3999996185303
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,,,4143.977083345254,3808.6666666517654,4933.2674999857945,4681.4962499812245,5325.7241666863365,4463.917142865062
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,,,2297.5192760955856,2710.1974025895233,4504.882794617547,4743.841439399101,8560.396590907048,15328.886580094726
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,,,2043.75,2559.625,2280.375,4596.375,4091.5,2730.125
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,,,3657.7358333336806,3202.2718181722994,3299.973392856121,4276.638958326272,3967.9434848571814,4266.174639252045
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,,,6949.266666666666,6369.731313131313,6133.353054353055,6760.706878306878,6154.731481481482,6111.974747474746
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,,,5352.408333311479,3489.399999987512,3396.4240740040937,3979.571428595554,4900.245833357175,4200.310052883846
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,,,4274.243434362942,4096.804393959045,3844.9098484756973,4546.099090905623,3310.9574242410035,4524.025454526959
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,,,4871.961666686006,4612.221626975777,4578.426071460545,4804.754444409831,5462.040494215364,5109.428214322722
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,,,5404.14851193674,4819.989732082401,7167.854414660306,4567.656745924835,5080.022073495483,7061.132222252421
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,,,3784.359999966621,3523.225000023842,4160.475000023842,4153.8199999451635,4541.106666636467,3804.2050000011923
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,,,6675.176363628019,7599.137777780494,9118.718181831186,8857.868409090694,11761.601111120648,16292.709034089406
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,,,5626.135921711768,5642.343105154141,5572.604464304116,5353.542142839942,6942.252361194955,7379.61638888518
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,,,2856.2861111031634,2962.489999997616,3056.112500006954,3580.647500011325,3132.367083304127,3494.405555566152
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,,,3421.5801785449894,3439.7089583997927,3244.841111128789,2933.9355952370383,3604.789166700157,3819.2470535559314
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,,,3615.4944444444445,3556.392857142857,3472.9333333333334,4052.590277777778,3123.65,3628.8500000000004
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,,,4604.039545488357,4839.285000002385,5102.228282821299,6802.154999995231,10081.389999997617,14036.038750010728
A30DHHAL100LZR,ns,30-1,30.0,1000.0,,,7160.708333333334,8517.783333333333,6016.012987012987,7689.012987012988,6871.443181818182,6106.214285714286
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,,,4020.9249999999997,4787.571428571428,5032.452380952381,4450.679761904762,5965.865079365079,4807.734523809523
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,,,2580.7609722342754,3834.6067361071705,5066.644861112287,5044.293750009686,9015.299007943935,11604.92272729071
A36IB78C6MVA3,prim,30-1,30.0,1000.0,,,3736.1944444444443,3486.5238095238096,3845.8958333333335,3496.8125,3768.857142857143,3302.95
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,,,3672.1995833337305,3151.931250014901,3207.5599999785422,3033.914583245913,3066.1395833045244,3038.5205555240314
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,,,1340.0499999821186,1640.4000000158946,2756.0666666825614,2049.7000000079474,1336.3333333333333,4005.0000000298023
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,,,7874.190972222223,6477.9171626984125,6737.510416666666,7741.184027777777,6648.546626984127,8353.4375
A3I97794CB5SUO,rec,30-1,30.0,1000.0,,,3778.1722222222224,3979.4494949494947,4744.371212121212,6098.696969696969,8326.602083333333,14287.156565656565
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,,,4181.0,969.0,4363.0,1368.0,,2521.0
A3TX84QHD321M7,prim,30-1,30.0,1000.0,,,5168.519841269841,4863.157765151515,4976.752777777778,4882.322916666667,4905.000992063492,4407.5
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,,,3398.9886363636365,3632.651515151515,3224.8011363636365,4017.1382575757575,3940.209090909091,4634.239898989899
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,,,4204.255176755214,5281.788674221165,6396.487556811626,8511.080808065155,6831.067840924588,11317.780793676111
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,,,5259.309722222222,5724.119047619048,5371.7875,5220.829365079365,5597.272186147186,5221.888888888889
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,,,6151.096825396825,6727.941964285714,6223.674999999999,6910.598214285714,6669.273809523809,6521.213879870131
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,,,6948.074999999255,7222.672916652635,7814.912499999006,5796.424999998882,6523.802083343267,5543.341666676104
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,,,3727.0694444444443,4072.0535714285716,3875.527777777778,3454.7916666666665,4042.1702380952383,4684.416666666667
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,,,2677.455194801286,3591.2178571434424,4143.787878790108,7179.457142854762,5456.440000003204,14762.257142863156
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,,,2191.381818194281,2354.231818193739,3289.77727275274,3174.5694444419605,3770.1393939500504,12763.099444448286
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,,,2155.8035714295174,3174.946825398103,3163.460317465048,2762.2797619000316,2897.615476176852,4101.404761910675
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,,,2638.441515156657,3812.9629629519245,3488.3994949324265,3129.1250000684345,3083.0348821444945,2801.021548819863
AIDU49N2KO05N,ns,30-1,30.0,1000.0,,,2570.73714286685,3679.591666676104,3075.948749998957,2911.1937499667206,3458.639345243076,5270.159166674564
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,,,5266.907142857143,4118.096726190476,4990.091540404041,3977.4333333333334,4161.791666666666,4899.094913419914
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,,,4169.964285705771,4236.66428571561,4864.872222211626,4761.650000014475,6330.370000016689,5110.441666692495
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,,,1576.7866017335807,2265.0002272739403,2354.716287869283,2949.512500001761,2641.9558333349014,4237.474464287662
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,,,4380.405555542972,5164.76166667276,5651.951111124621,5548.029999989271,7317.463333338499,9744.913333338498
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,,,2371.324999981125,3267.1313227365886,4815.354629641882,5022.558730148449,6025.383333325812,12578.042129623116
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,,,3856.6422619035557,3808.969990075935,3423.9468750096858,3889.3523809538474,3735.3287499886537,3649.3279762019715
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,,,6593.914285714285,6790.55625,7858.288095238096,7025.883333333334,9184.196428571428,7412.575
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,,,2405.985000050068,2640.7214285986765,2429.9031746803767,2882.4949999928476,3514.046825386229,2654.9361111429002
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,,,4408.931448412699,5135.10625,4929.5625,4692.10386904762,5541.073214285714,5148.1238095238095
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,,,6818.116666667991,6443.290476186645,7683.1303571444005,6976.078571431073,6393.637500001118,7057.711111111774
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,,,4999.963392858758,7928.867559525328,6217.47041666718,5378.313333330797,5936.270833333091,5785.898035716069
A166P9BSWIFF32,prim,20-2,20.0,2000.0,,,3074.6125,3778.633333333333,2696.3214285714284,3198.25,3059.5714285714284,2727.5238095238096
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,,,6841.944444444444,5316.05,4420.028571428571,4897.833333333333,4672.36111111111,3625.6875
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,,,4086.7131313131313,3710.646103896104,3724.1055555555554,3384.128832972583,3931.8624999999997,4999.416666666667
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,,,3774.5954166754177,3673.34375000773,3915.4906249834457,4019.2008333387475,3684.7654762007296,3961.6432359331625
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,,,3288.625505955398,3145.3928571535007,3745.1344444405704,3416.1700595115612,3257.4952380945024,3375.095208337593
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,,,3000.25,2268.6499999761586,2753.5666666825614,2281.9333333969116,2628.9333333174386,2027.766666650772
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,,,6735.1583332618075,5547.011111100514,6000.9933333079025,5020.288888878292,7052.683333396912,6262.766666730245
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,,,5335.363333479563,5088.389583369096,5415.874999821186,5564.4075000166895,8119.850000103315,5142.439999771119
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,,,4577.75,4723.357142857143,4057.9166666666665,4404.541666666666,4507.875,5225.946428571428
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,,,2027.7702777775523,3154.392196969359,3139.541944444627,4440.6186111112,4671.73841269858,14359.16046627001
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,,,5258.858863597928,6663.580134662315,5598.196136381409,5622.2148148095175,5412.298484775755,6439.746018565585
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,,,6214.388888888888,3229.3333333333335,5615.11111111111,4885.5,6268.777777777777,4469.61111111111
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,,,,,,,,
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,,,2565.6666666666665,2252.4603174603176,2368.277777777778,1876.4444444444443,3954.246031746032,6841.277777777777
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,,,2989.691666677594,4053.4666666587195,3553.191666687528,3033.644444450736,3889.0555555456212,4307.583333333333
A1TPGXT718D68E,rec,20-2,20.0,2000.0,,,3305.2221428581247,4172.6790178495075,3967.368452382041,7867.849999997842,10088.379583331873,12382.882083335488
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,,,4111.666666666667,4888.733333333334,4371.133333333333,4185.785714285714,4969.625,9092.1875
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,,,3442.500000004967,4337.70000000298,5374.9749999940395,3047.5833333383002,3081.0499999970198,2759.9000000059605
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,,,4995.5952380952385,4438.833333333333,4154.576388888889,3761.919642857143,4490.994047619048,7425.475
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,,,,,,,,
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,,,4134.414285714286,4498.25,4029.666666666667,3490.6000000000004,3140.208333333333,4030.5
A248QG4DPULP46,ns,20-2,20.0,2000.0,,,2624.469444440471,3644.4427083432674,3386.714166683952,3823.4687499801316,4960.089583341032,8923.220833327621
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,,,2639.5166666666664,2685.4583333333335,1885.075,2524.725,2201.366666666667,2458.5416666666665
A25VK411P03A5T,rec,20-2,20.0,2000.0,,,2648.25,2987.0,3169.6666666666665,4094.0,2919.625,3100.3333333333335
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,,,5851.763888889675,5646.522790403877,4042.1201388899544,4469.340624999601,4424.5871212121565,5546.778611110902
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,,,4064.6750003496804,5932.775000095367,5786.299999872844,4588.77499961853,5935.96666653951,6973.383333630031
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,,,3657.5958333194258,3970.698809608959,4170.779375088215,3962.643402854602,3470.220416661103,4529.776785736993
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,,,4272.367708375057,4900.205357111163,4223.987936551609,4197.703720189276,4129.960416662693,5073.779761969097
A2KHR0GTA0DBWI,rec,20-2,20.0,2000.0,,,5109.209722222222,4684.653896103897,5611.38768939394,5423.152083333333,5522.67803030303,6768.333080808081
A2KT30RCVX67ZS,prim,20-2,20.0,2000.0,,,3810.179166683058,3088.8537499899667,2981.6550000041725,3864.014107166869,4536.150535713988,4093.9392857251423
A2MMGDAA7JJKIE,prim,20-2,20.0,2000.0,,,6803.337738094017,5879.677083351546,5203.089404798122,5251.741666634878,6004.591666678588,6191.3845238061185
A2MOKIEQZ0OF2M,prim,20-2,20.0,2000.0,,,4420.079166667037,3934.719047619174,5446.261111110992,4616.946031745738,4268.703769841006,4530.506349205631
A2NZ783AY1LBPW,prim,20-2,20.0,2000.0,,,7517.183333330891,6363.53926767469,5382.015972224685,5066.592857146618,7020.429166668406,5378.530625003204
A2NZAL7KHOR6VF,rec,20-2,20.0,2000.0,,,3325.1358333304524,3622.040555548668,3410.8944444429544,5132.988541662135,7253.578333331148,12472.828333336405
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,,,3985.0916668971377,3651.733333349228,3583.2999999523163,4149.69999996821,3734.0249999165535,3660.3799999237062
A2P2YEHX1FXD20,rec,20-2,20.0,2000.0,,,4840.972222222223,4700.222222222223,4851.599999999999,4045.9555555555557,4131.183333333333,4343.694444444444
A2QHI85LQPJZYP,prim,20-2,20.0,2000.0,,,3494.522222222222,2530.142592592593,2876.6222222222223,3414.7666666666664,3000.097222222222,4302.351190476191
A2SSY7MHPDQVUS,prim,20-2,20.0,2000.0,,,2374.7079545652323,2429.785454536026,2212.0272727175193,2761.2136363766413,2704.3030303198884,2428.318181812763
A2UX2W49R55PH4,prim,20-2,20.0,2000.0,,,5348.333333333333,4531.833333333333,5590.0,9245.444444444445,5545.0,5934.777777777777
A2VIKCIM9TZL22,rec,20-2,20.0,2000.0,,,1547.280634918856,2088.32714283613,2399.733333293597,3990.200317452966,3471.7773809869373,14370.636111109125
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,,,4556.31819444365,5056.169444450281,5584.891111096119,4753.735694431059,5286.505694447209,6886.593749997872
A2XVLOZY7FJCC2,rec,20-2,20.0,2000.0,,,5689.654652776983,5675.823333320188,5739.832539683213,6237.040000005232,7818.03305556087,8412.977171722325
A2ZVBFH732LYXQ,prim,20-2,20.0,2000.0,,,3496.912500000093,5953.685416666946,4055.6250000000773,4079.1694444450036,4178.4645833338145,5217.5604166664025
A304UJAE051J89,rec,20-2,20.0,2000.0,,,3183.034642859016,2228.6517424265767,3216.716071428572,2588.1789393854865,3636.9148809593585,3887.44030305251
A312HQ3OU0EYTB,rec,20-2,20.0,2000.0,,,3595.9166666666665,4417.594444444445,3650.6666666666665,5136.433333333333,6039.777777777777,12919.383333333333
A35S8HPY0V445,ns,20-2,20.0,2000.0,,,5744.35142856815,5203.05917659469,4494.735416659465,4905.339027768374,6233.29401783482,7022.019128787924
A37GOI3N77WX21,ns,20-2,20.0,2000.0,,,4004.7769886368887,3767.5349999990694,3632.4106818169644,3274.29948863498,3207.5662878795415,2863.1978535342378
A389UA2GRCJ6,prim,20-2,20.0,2000.0,,,3803.208333333333,5120.771428571428,3948.0208333333335,4131.5297619047615,5159.705357142857,5659.983333333333
A3A7XOKH39SYOI,prim,20-2,20.0,2000.0,,,3702.907291630904,2661.6291667222977,3530.001389020492,2635.6459521770475,4027.303124974171,2918.915833300636
A3B0CMCBWAND7,rec,20-2,20.0,2000.0,,,3959.6537247524416,4084.262215910056,3973.5542929257936,3718.1784722262787,3868.9911616157856,8606.763844691595
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,,,3304.733571427209,3747.7928571658476,4079.7145832611454,3787.6416666905084,4671.409722208977,4913.4335714919225
A3CKVVGWBS4NGU,prim,20-2,20.0,2000.0,,,3705.194761905216,3810.021874991059,3785.191964287843,4130.941666632891,3654.3561607071333,3546.4351190257644
A3GDVKIN7ZGUG9,rec,20-2,20.0,2000.0,,,5359.027777777777,4667.642857142857,6905.923611111111,9910.3,5015.9375,8210.107142857143
A3HE29W5IDR394,rec,20-2,20.0,2000.0,,,2843.541666666667,2718.6727272727276,3396.5069444444443,4927.453733766233,6597.689285714287,11776.058333333332
A3HYH6OVZQ5MIY,ns,20-2,20.0,2000.0,,,9070.931428571685,5264.810416658098,6246.180555567145,6675.230555554232,6604.033333335072,6748.811111112436
