subject,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A27T2Z568L69U1,10-2,10.0,2000.0,0.625,0.125,0.0625,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282UM3NAIM0YO,10-2,10.0,2000.0,0.08333333333333333,0.10416666666666666,0.0625,0.0,0.0,0.0,0.041666666666666664,0.020833333333333332,0.125,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2BREH6STESM0G,10-2,10.0,2000.0,0.10416666666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.14583333333333334,0.2708333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2FLBMZ38IZ2SQ,10-2,10.0,2000.0,0.6666666666666666,0.125,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2FM1N5AOMVTGL,10-2,10.0,2000.0,0.40719696969696967,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2FYFCD16Z3PCC,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,0.125,0.27083333333333337,0.1875,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2H8PEGI28NKZD,10-2,10.0,2000.0,0.3958333333333333,0.020833333333333332,0.12499999999999999,0.0,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.25,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2I6ZALE49CVSC,10-2,10.0,2000.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.14583333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2KPEUCEE2M05G,10-2,10.0,2000.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2LJ1FRUYGW469,10-2,10.0,2000.0,0.3125,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.41666666666666674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
