subject,strategy,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.14583333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.3125,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.41666666666666674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0625,0.020833333333333332,0.7083333333333334,0.12499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.020833333333333332,0.0,0.0,0.0,0.14583333333333331,0.3541666666666667,0.22916666666666666,0.10416666666666666,0.10416666666666666,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.18749999999999997,0.0,0.041666666666666664,0.0,0.08333333333333333,0.18749999999999997,0.041666666666666664,0.20833333333333331,0.10416666666666666,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.020833333333333332,0.20833333333333334,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.10416666666666666,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.45833333333333337,0.14583333333333331,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.27083333333333337,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.08333333333333333,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0625,0.12499999999999999,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.1875,0.125,0.041666666666666664,0.041666666666666664,0.0,0.020833333333333332,0.0,0.041666666666666664,0.0625,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.22916666666666669,0.25,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.35416666666666663,0.125,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.0625,0.041666666666666664,0.041666666666666664,0.0625,0.08333333333333333,0.0625,0.125,0.14583333333333334,0.25,0.10416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.875,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.020833333333333332,0.0,0.041666666666666664,0.0625,0.4375,0.041666666666666664,0.020833333333333332,0.0,0.0,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.375,0.10416666666666666,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0625,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.16666666666666669,0.0,0.0625,0.0,0.020833333333333332,0.0,0.0625,0.041666666666666664,0.20833333333333331,0.18749999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.14583333333333334,0.08333333333333333,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.14583333333333334,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,0.19444444444444445,0.08333333333333333,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A489K1IFOM4JW,prim,10-2,10.0,2000.0,0.5208333333333333,0.14583333333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.125,0.125,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A55MEA9LQASZH,rec,10-2,10.0,2000.0,0.10416666666666666,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.08333333333333333,0.10416666666666666,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5P12YJP805RG,rec,10-2,10.0,2000.0,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.08333333333333333,0.0625,0.20833333333333331,0.22916666666666663,0.14583333333333331,0.10416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,0.10416666666666666,0.0,0.0,0.0,0.0,0.10416666666666666,0.020833333333333332,0.020833333333333332,0.125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,0.27777777777777773,0.13888888888888887,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP8U373W5Q54,prim,10-2,10.0,2000.0,0.7916666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,0.625,0.12499999999999999,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,0.5833333333333334,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,0.041666666666666664,0.0625,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.08333333333333333,0.16666666666666666,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,0.6666666666666667,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,0.29166666666666663,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.10416666666666666,0.22916666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.18749999999999997,0.5416666666666667,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,0.10416666666666666,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0625,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.1875,0.20833333333333331,,,,,,,,,,,,,,,,,,,,
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,0.6458333333333334,0.1875,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,0.5814393939393939,0.1875,0.043560606060606064,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0625,0.08333333333333333,0.10416666666666666,0.39583333333333337,0.3125,,,,,,,,,,,,,,,,,,,,
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.16666666666666666,0.125,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.10416666666666666,0.27083333333333337,,,,,,,,,,,,,,,,,,,,
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.08333333333333333,0.10416666666666666,0.5208333333333334,,,,,,,,,,,,,,,,,,,,
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.6458333333333334,0.20833333333333331,0.041666666666666664,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.041666666666666664,0.0625,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0625,0.0,0.10416666666666666,0.125,0.14583333333333331,0.29166666666666663,,,,,,,,,,,,,,,,,,,,
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0,0.125,0.125,0.08333333333333333,0.125,0.041666666666666664,,,,,,,,,,,,,,,,,,,,
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.7708333333333333,0.0,0.041666666666666664,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,,,,,,,,,,,,,,,,,,,,
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.35416666666666663,0.14583333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.020833333333333332,,,,,,,,,,,,,,,,,,,,
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6458333333333334,,,,,,,,,,,,,,,,,,,,
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.0625,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.10416666666666666,0.12499999999999999,0.3125,,,,,,,,,,,,,,,,,,,,
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,0.41666666666666663,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.4375,,,,,,,,,,,,,,,,,,,,
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.6250000000000001,0.0625,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.7916666666666667,,,,,,,,,,,,,,,,,,,,
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0625,0.1875,0.47916666666666674,0.16666666666666666,0.041666666666666664,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A1OW27AZS122X2,ns,20-1,20.0,1000.0,0.08333333333333333,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.041666666666666664,0.020833333333333332,0.0,0.0,0.041666666666666664,0.10416666666666666,0.16666666666666666,0.29166666666666663,,,,,,,,,,,,,,,,,,,,
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,0.7083333333333333,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,,,,,,,,,,,,,,,,,,,,
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,0.2708333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08712121212121213,0.23674242424242425,,,,,,,,,,,,,,,,,,,,
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.125,0.08333333333333333,0.16666666666666666,0.1875,0.3541666666666667,,,,,,,,,,,,,,,,,,,,
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,0.08333333333333333,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.10416666666666666,0.0625,0.0625,0.041666666666666664,0.14583333333333331,0.22916666666666669,,,,,,,,,,,,,,,,,,,,
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,0.12499999999999999,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,0.6666666666666666,,,,,,,,,,,,,,,,,,,,
A26M997VYVK0E6,prim,20-1,20.0,1000.0,0.041666666666666664,0.6666666666666667,0.22916666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.125,0.18749999999999997,0.2708333333333333,0.3541666666666667,0.0,,,,,,,,,,,,,,,,,,,,
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333331,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,0.75,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,0.22916666666666666,0.16666666666666666,0.08333333333333333,0.0625,0.0625,0.041666666666666664,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0625,,,,,,,,,,,,,,,,,,,,
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.3125,0.6041666666666666,,,,,,,,,,,,,,,,,,,,
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,0.29166666666666663,0.125,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,,,,,,,,,,,,,,,,,,,,
A2QY653X9531JP,ns,20-1,20.0,1000.0,0.0625,0.0,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.022727272727272728,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.043560606060606064,0.022727272727272728,0.020833333333333332,0.06439393939393939,0.10795454545454546,0.12878787878787878,0.17045454545454547,,,,,,,,,,,,,,,,,,,,
