subject,strategy,condition,l_length,pres_rate,scl
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,0.5071854005318889
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,0.49378822737057454
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,0.5032538917708126
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,0.5160992244890251
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,0.5049835544748059
A1UOP419O6P55R,prim,15-2,15.0,2000.0,0.5710283259215303
A1WM3INNDW2776,ns,15-2,15.0,2000.0,0.5258747740300079
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,0.4959975552739388
A2113B699TVADG,prim,15-2,15.0,2000.0,0.4857344964065743
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,0.47921113376250335
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,0.49393271324973026
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,0.4947717170810717
A233LLG8YAXWF,rec,15-2,15.0,2000.0,0.5019075835534497
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,0.5247502979964986
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,0.5184420185550784
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,0.5742192589032564
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,0.5140098789285235
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,0.40416327287268117
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,0.5394079594065806
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,0.5157682461532099
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,0.5097511508643144
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,0.4949590670182916
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,0.49034222257218607
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,0.5892784029011235
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,0.5244342962710035
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,0.5362437219147425
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,0.5065905636891481
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,0.5121547285861994
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,0.4756138430659344
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,0.5568721877508115
A310Y949ILSN3P,prim,15-2,15.0,2000.0,0.48778939113330155
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,0.5239642696703602
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,0.48232389793380964
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,0.5089523535374822
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,0.47527950035294186
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,0.5731683798127589
A35VI4SE31HD17,prim,15-2,15.0,2000.0,0.45776542721702485
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,0.47241158922920207
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,0.5299259955055867
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,0.5108692944566446
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,0.5040927034245353
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,0.4562848466961998
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,0.4640399527622823
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,0.46661102890494605
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,0.5672789061303904
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,0.5139710944818895
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,0.4976024468229272
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,0.5036752878241195
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,0.4807317514869284
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,0.48305284997673653
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,0.5297173146286259
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,0.4959094383779975
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,0.5319167301880037
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,0.47378336242880736
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,0.5294640257228937
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,0.4711797600829991
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,0.5343609314576963
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,0.4671737054563446
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,0.5254715149384013
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,0.5081499945101099
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,0.5127776003321736
AERGHZBQFT309,ns,15-2,15.0,2000.0,0.5356711555050349
AESZJEZTZEW01,ns,15-2,15.0,2000.0,0.47856668716867756
AEX1I7K7OVHHC,rec,15-2,15.0,2000.0,0.49966137814156825
AEXRVIK8SKB4V,prim,15-2,15.0,2000.0,0.5423025772813169
AF0W4ZBY7VXOU,rec,15-2,15.0,2000.0,0.5257266868027538
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,0.5625249344193552
AGANKP4PUZ4NC,prim,15-2,15.0,2000.0,0.5148080215113253
AHY3YAYJLTW32,rec,15-2,15.0,2000.0,0.4998632802232934
AL9SYQEUTNJXT,prim,15-2,15.0,2000.0,0.5060185481112424
ALDQRWYZ8KQ9A,rec,15-2,15.0,2000.0,0.5233285894983944
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,0.5154636150821298
AOIR8V07FYMH5,rec,15-2,15.0,2000.0,0.582369047934331
AR0VJ5XRG16UJ,rec,15-2,15.0,2000.0,0.49270471484150113
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,0.5157407756064285
AW2UVK63OLFW,ns,15-2,15.0,2000.0,0.5224310553945887
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,0.5912293504681625
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,0.4811385524362219
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,0.4963139298312656
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,0.5227596621010143
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,0.5590709788187027
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,0.4764584244511293
A16335MOISDG1F,rec,30-1,30.0,1000.0,0.548584414233716
A17FJLW818UEQU,rec,30-1,30.0,1000.0,0.5321226202397791
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,0.48779048051824936
A1AS1H21O9896X,ns,30-1,30.0,1000.0,0.5414253571391296
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,0.47884792598896375
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,0.5161842986892359
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,0.501614625683688
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,0.527585557135955
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,0.5009381106993505
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,0.5089910355996436
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,0.5164933807762042
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,0.5321779659943581
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,0.5329972882970032
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,0.5805997327041061
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,0.571745646834251
A1T2P6E67251U5,prim,30-1,30.0,1000.0,0.5134317425257902
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,0.5408719952300055
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,0.5105312618589087
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,0.4966078528981476
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,0.541511738971441
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,0.5149094298889494
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,0.5163424330783545
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,0.5103000464698938
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,0.550627135104389
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,0.4947195640262337
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,0.48620613526185963
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,0.46984758701579055
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,0.5002200145774021
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,0.5260313912593131
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,0.6034615503010882
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,0.5095438134396064
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,0.48689222528763954
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,0.5293183704753273
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,0.5177603139621906
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,0.5023213897679275
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,0.5700120031583525
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,0.5179123369154403
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,0.5197995918699566
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,0.503021413524708
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,0.4870714443937925
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,0.5046480641569067
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,0.5109408232058138
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,0.5004180991095802
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,0.5835833692337913
A30DHHAL100LZR,ns,30-1,30.0,1000.0,0.48197302128975905
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,0.5282346032878339
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,0.5492942520353716
A36IB78C6MVA3,prim,30-1,30.0,1000.0,0.5615325174038401
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,0.48468991464480177
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,0.5136277770486478
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,0.50649811727121
A3I97794CB5SUO,rec,30-1,30.0,1000.0,0.5451999349554196
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,0.49835399558794324
A3TX84QHD321M7,prim,30-1,30.0,1000.0,0.4909949852268436
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,0.5109678378402736
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,0.5920099170352604
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,0.46430731829164285
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,0.5171281363486278
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,0.5649296412340462
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,0.5030612774892312
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,0.5073979123146827
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,0.5117259440319778
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,0.475297026204062
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,0.5149402408661914
AIDU49N2KO05N,ns,30-1,30.0,1000.0,0.4928437018431453
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,0.5236087441846429
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,0.48903513872583365
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,0.5144581063379146
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,0.5717428635405511
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,0.5512786775654134
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,0.5287707119941936
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,0.49753376701992824
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,0.4627224902109057
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,0.4950980669606689
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,0.5059466245125097
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,0.5045020203689627
A166P9BSWIFF32,prim,20-2,20.0,2000.0,0.49658445902103365
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,0.536347042308102
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,0.5380827020275312
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,0.4971001867479101
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,0.5120821461139897
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,0.5116330153605425
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,0.48741025826488504
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,0.5540333998873588
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,0.5356457099981967
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,0.5096292049758223
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,0.4764589768291759
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,0.4332936721935327
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,0.5250937383176817
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,0.5467847393310593
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,0.44770597202257784
A1TPGXT718D68E,rec,20-2,20.0,2000.0,0.5521349151278292
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,0.5692388408656319
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,0.4822757060324876
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,0.49867526896307357
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,0.4916206604566974
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,0.5309425924341092
A248QG4DPULP46,ns,20-2,20.0,2000.0,0.5513755106275616
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,0.5490928552050696
A25VK411P03A5T,rec,20-2,20.0,2000.0,0.5130863038391893
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,0.5304344379847449
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,0.49375887458032597
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,0.5214672656375166
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,0.48882308866193286
A2KHR0GTA0DBWI,rec,20-2,20.0,2000.0,0.4905203350292995
A2KT30RCVX67ZS,prim,20-2,20.0,2000.0,0.5010560948283207
A2MMGDAA7JJKIE,prim,20-2,20.0,2000.0,0.4996015316582287
A2MOKIEQZ0OF2M,prim,20-2,20.0,2000.0,0.4986489873015352
A2NZ783AY1LBPW,prim,20-2,20.0,2000.0,0.4862450399049135
A2NZAL7KHOR6VF,rec,20-2,20.0,2000.0,0.5239465806971819
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,0.5605506720663131
A2P2YEHX1FXD20,rec,20-2,20.0,2000.0,0.5986505504086032
A2QHI85LQPJZYP,prim,20-2,20.0,2000.0,0.48163612775292397
A2SSY7MHPDQVUS,prim,20-2,20.0,2000.0,0.5092331350950816
A2UX2W49R55PH4,prim,20-2,20.0,2000.0,0.4969873476354975
A2VIKCIM9TZL22,rec,20-2,20.0,2000.0,0.49753754463090427
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,0.5069112806549811
A2XVLOZY7FJCC2,rec,20-2,20.0,2000.0,0.5222548056464994
A2ZVBFH732LYXQ,prim,20-2,20.0,2000.0,0.4883506078234389
A304UJAE051J89,rec,20-2,20.0,2000.0,0.555787895253079
A312HQ3OU0EYTB,rec,20-2,20.0,2000.0,0.5679412460837296
A35S8HPY0V445,ns,20-2,20.0,2000.0,0.49985890765816754
A37GOI3N77WX21,ns,20-2,20.0,2000.0,0.5018614353512705
