subject,condition,l_length,pres_rate,prim_pfr,middle_pfr,rec_pfr,prim_effect,rec_effect,rec_prim_bias,rec_prim_bias_bool,condition_mu
A2WYZLG8J526TQ,10-2,10.0,2000.0,0.6249999999999999,0.0,0.125,True,True,-0.4999999999999999,False,prim
A33X52IN60MSOE,10-2,10.0,2000.0,0.125,0.0,0.875,True,True,0.75,True,prim
A348NEQKS6VNIB,10-2,10.0,2000.0,0.10416666666666666,0.041666666666666664,0.8125,True,True,0.7083333333333334,True,prim
A349BBTU7L597J,10-2,10.0,2000.0,0.39583333333333337,0.020833333333333332,0.1875,True,True,-0.20833333333333337,False,prim
A3C8JI69WPTKWH,10-2,10.0,2000.0,0.020833333333333332,0.041666666666666664,0.9375,False,True,0.9166666666666666,True,prim
A3CE7DTHIB76UK,10-2,10.0,2000.0,0.5624999999999999,0.08333333333333333,0.20833333333333331,True,True,-0.3541666666666666,False,prim
A3G55RJTW3BSGM,10-2,10.0,2000.0,0.20833333333333331,0.14583333333333331,0.625,True,True,0.4166666666666667,True,prim
A3GC5Q5CLI4NWZ,10-2,10.0,2000.0,0.9166666666666666,0.0,0.0,True,False,-0.9166666666666666,False,prim
A3J55BJGV95JKH,10-2,10.0,2000.0,0.125,0.4791666666666667,0.3125,False,False,0.1875,True,prim
A3MJQ51KN9CMQ4,10-2,10.0,2000.0,0.49999999999999994,0.0,0.14583333333333331,True,True,-0.35416666666666663,False,prim
A3MOL1L9V4BUGH,10-2,10.0,2000.0,0.22916666666666669,0.020833333333333332,0.5,True,True,0.2708333333333333,True,prim
A3NAONPCTVT6P1,10-2,10.0,2000.0,0.22916666666666669,0.041666666666666664,0.5416666666666666,True,True,0.31249999999999994,True,prim
A3PJY7THMUIR4M,10-2,10.0,2000.0,0.3055555555555556,0.027777777777777776,0.5277777777777777,True,True,0.2222222222222221,True,prim
A3VV3MW68CALXS,10-2,10.0,2000.0,0.3541666666666667,0.0,0.0,True,False,-0.3541666666666667,False,prim
A489K1IFOM4JW,10-2,10.0,2000.0,0.6875,0.0,0.0,True,False,-0.6875,False,prim
A49HPQ9P5AHU4,10-2,10.0,2000.0,0.0,0.25,0.7500000000000001,False,True,0.7500000000000001,True,prim
A55MEA9LQASZH,10-2,10.0,2000.0,0.10416666666666666,0.020833333333333332,0.75,True,True,0.6458333333333334,True,prim
A5P12YJP805RG,10-2,10.0,2000.0,0.12499999999999999,0.14583333333333331,0.6874999999999999,False,True,0.5624999999999999,True,prim
A5TWD5QD99GZY,10-2,10.0,2000.0,0.10416666666666666,0.10416666666666666,0.7916666666666666,False,True,0.6875,True,prim
A63UHNWYOV5LE,10-2,10.0,2000.0,0.4722222222222222,0.1111111111111111,0.2222222222222222,True,True,-0.25,False,prim
AEP8U373W5Q54,10-2,10.0,2000.0,0.8125000000000001,0.0,0.0,True,False,-0.8125000000000001,False,prim
AK2PMO5I7OCEK,10-2,10.0,2000.0,0.7708333333333334,0.0,0.0,True,False,-0.7708333333333334,False,prim
AKNU5D6QK7M72,10-2,10.0,2000.0,0.7083333333333334,0.0,0.0,True,False,-0.7083333333333334,False,prim
AO5FQ7GY8DTR8,10-2,10.0,2000.0,0.375,0.0,0.0,True,False,-0.375,False,prim
