subject,strategy,condition,l_length,pres_rate,rt
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,3797.7767045520045
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,6992.890740678929
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,4986.752954511194
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,9083.04166667008
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,7664.595959595959
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,2437.838068175784
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,10726.459596015193
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,4221.665773809524
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,3386.0598485904097
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,2819.7645833305046
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,5700.975396888123
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,4283.322853535354
A50UY1556VDIA,ns,20-1,20.0,1000.0,4984.432449494949
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,960.131060650177
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,6823.925925925926
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,3381.2514790630275
AJD90361AJO80,ns,20-1,20.0,1000.0,7636.469444444445
AK52RXEJKR81A,ns,20-1,20.0,1000.0,4789.398737596744
AMJAZPJBO936R,prim,20-1,20.0,1000.0,3843.6237878307247
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,8258.052083333334
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,3380.176420523362
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,9715.513888888889
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,7114.133838383838
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,4849.377489175503
AZZA3J049G7R5,rec,20-1,20.0,1000.0,2799.3499999995756
A102RSV009OCUW,prim,15-2,15.0,2000.0,5560.537878787879
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,7123.356666662854
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,3293.3045454545454
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,3358.2867424119
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,4046.6809343434343
A151XA53WYXVD7,prim,15-2,15.0,2000.0,8262.631944444445
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,4268.939027696848
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,2214.4418939513125
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,2724.951136363845
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,9212.98365800866
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,2277.4062500079554
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,2535.6791666067306
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,4493.346022727273
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,4032.4555555555557
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,7545.776287879637
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,4653.042777764134
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,2435.6114583335743
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,5249.469696969697
A1UOP419O6P55R,prim,15-2,15.0,2000.0,1930.2138888888887
A1WM3INNDW2776,ns,15-2,15.0,2000.0,4119.806818181818
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,5910.226388934586
A2113B699TVADG,prim,15-2,15.0,2000.0,4178.791666666667
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,5967.405018997915
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,1648.4696296282389
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,1851.1681818257678
A233LLG8YAXWF,rec,15-2,15.0,2000.0,2258.3791666658753
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,954.0513257577447
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,1690.6620833069085
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,3520.1666666666665
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,10295.039141386485
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,8309.166666666666
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,4644.801250026623
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,4287.050000028177
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,2146.326542207792
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,5450.610170425407
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,2438.101136394466
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,5230.991666689515
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,15367.384469696968
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,8636.954924222584
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,2662.9791666666665
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,5430.249999992549
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,3458.1499999999996
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,3405.099652926127
A310Y949ILSN3P,prim,15-2,15.0,2000.0,3863.764087301587
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,5974.127777777778
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,3035.663636363636
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,6231.478611129315
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,13400.000505050504
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,1596.9804924322207
A35VI4SE31HD17,prim,15-2,15.0,2000.0,5641.731597233176
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,2520.652777777778
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,5859.843001323861
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,2241.5380681667366
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,3559.666666666667
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,8751.580113591694
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,2655.0625
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,3803.9958335955935
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,1867.4022728006046
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,5193.871319447458
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,3559.1979166666665
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,5500.066666666667
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,4663.86590909091
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,6255.181696444218
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,5165.404040404041
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,4668.378472222223
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,5318.229166666667
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,3108.1659090909093
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,5155.762847163611
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,6452.072886939276
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,5202.082954545454
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,1614.6583333333333
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,5168.025833325584
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,3617.0902275376247
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,4007.1979166112014
AERGHZBQFT309,ns,15-2,15.0,2000.0,1533.0844697049733
AESZJEZTZEW01,ns,15-2,15.0,2000.0,4942.952499976755
AEX1I7K7OVHHC,rec,15-2,15.0,2000.0,5051.466666666667
AEXRVIK8SKB4V,prim,15-2,15.0,2000.0,3947.934920560362
AF0W4ZBY7VXOU,rec,15-2,15.0,2000.0,2590.635416666667
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,6843.970093822841
AGANKP4PUZ4NC,prim,15-2,15.0,2000.0,5895.459166712562
AHY3YAYJLTW32,rec,15-2,15.0,2000.0,1919.5625
AL9SYQEUTNJXT,prim,15-2,15.0,2000.0,2941.1882241648577
ALDQRWYZ8KQ9A,rec,15-2,15.0,2000.0,2582.918749999798
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,1545.9626893798509
AOIR8V07FYMH5,rec,15-2,15.0,2000.0,1626.8595833240697
AR0VJ5XRG16UJ,rec,15-2,15.0,2000.0,7305.5125
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,2742.5232954549683
AW2UVK63OLFW,ns,15-2,15.0,2000.0,6013.105101024142
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,2804.6513257525635
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,8778.84668109668
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,3189.10625
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,3130.916666666667
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,3119.529356072685
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,6218.213510100758
A16335MOISDG1F,rec,30-1,30.0,1000.0,2066.0624999997526
A17FJLW818UEQU,rec,30-1,30.0,1000.0,2230.881313131313
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,7772.334999999963
A1AS1H21O9896X,ns,30-1,30.0,1000.0,6210.587698432868
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,2846.9571428571426
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,4388.891161616162
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,2358.305871210569
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,3481.798106060606
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,1756.2196428571428
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,8053.832638932496
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,5313.613492063492
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,2001.5145833337165
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,1712.032196969697
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,7558.046590962193
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,2453.320833329422
A1T2P6E67251U5,prim,30-1,30.0,1000.0,6587.375277857708
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,5602.832954692909
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,6010.083333333334
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,4905.832954545454
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,5640.046726149816
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,5191.981818181818
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,7753.5847763347765
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,3945.65
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,9234.122023809523
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,1561.654040406712
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,6483.258787866285
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,4990.15426136538
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,4969.821818358248
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,3961.096574664271
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,1255.6083333489175
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,7601.734848484848
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,12320.73611111641
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,4013.777777777778
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,6481.152020296063
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,3871.102777745988
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,2617.930303020233
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,8874.238888853126
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,5411.38571432765
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,4477.0880681351955
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,4971.222979658782
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,3664.546190496002
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,6499.5813888269995
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,4217.450757575758
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,5291.924999972184
A30DHHAL100LZR,ns,30-1,30.0,1000.0,2393.25
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,6418.751851851852
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,1340.328598494218
A36IB78C6MVA3,prim,30-1,30.0,1000.0,7675.785714285714
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,7940.123263870676
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,2691.4545454581576
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,5473.291666666667
A3I97794CB5SUO,rec,30-1,30.0,1000.0,1287.5825757575758
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,3794.286174259064
A3TX84QHD321M7,prim,30-1,30.0,1000.0,5136.915674603174
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,5711.590277777777
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,3238.812878872409
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,6291.354166666666
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,6087.111111111111
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,5542.42894569695
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,5325.301388888889
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,5129.735833337096
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,1447.9208333964148
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,2313.0570075544106
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,2808.059090880959
AIDU49N2KO05N,ns,30-1,30.0,1000.0,5398.940624957227
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,3764.216765873016
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,3714.0861111250188
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,2215.2466666567507
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,2963.1937500346367
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,1552.6972222692436
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,9975.30721587664
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,5896.87398989899
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,4468.24277777142
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,4535.767676767677
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,4496.051666661269
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,5237.63472222682
A166P9BSWIFF32,prim,20-2,20.0,2000.0,5803.55
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,4894.641654641655
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,3990.9583333333335
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,3292.098409090911
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,4139.7325757556955
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,3605.436111107017
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,8884.861994946003
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,3088.520922602926
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,7220.166666666667
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,969.43333333331
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,7355.7164140735
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,4613.527777777777
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,2569.6685606060605
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,1667.25
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,3464.4081655931604
A1TPGXT718D68E,rec,20-2,20.0,2000.0,2638.8724999943433
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,4320.805555555556
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,2231.535416664121
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,4616.722222222223
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,2293.875
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,4151.685714285714
A248QG4DPULP46,ns,20-2,20.0,2000.0,1579.8975000133116
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,2720.25
A25VK411P03A5T,rec,20-2,20.0,2000.0,3013.49071969697
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,3704.846780302172
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,5202.234374980132
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,4222.079166717
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,5775.6158333218755
A2KHR0GTA0DBWI,rec,20-2,20.0,2000.0,4741.295454545454
A2KT30RCVX67ZS,prim,20-2,20.0,2000.0,4115.6183333137915
A2MMGDAA7JJKIE,prim,20-2,20.0,2000.0,5886.506984086263
A2MOKIEQZ0OF2M,prim,20-2,20.0,2000.0,2990.5385858581008
A2NZ783AY1LBPW,prim,20-2,20.0,2000.0,4645.9773484843645
A2NZAL7KHOR6VF,rec,20-2,20.0,2000.0,1018.5320075816251
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,4106.544444216623
A2P2YEHX1FXD20,rec,20-2,20.0,2000.0,2598.4142857142856
A2QHI85LQPJZYP,prim,20-2,20.0,2000.0,4732.601190476191
A2SSY7MHPDQVUS,prim,20-2,20.0,2000.0,2444.251666688919
A2UX2W49R55PH4,prim,20-2,20.0,2000.0,6210.0021825396825
A2VIKCIM9TZL22,rec,20-2,20.0,2000.0,786.9161616632282
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,5955.737575730004
A2XVLOZY7FJCC2,rec,20-2,20.0,2000.0,4667.955505954604
A2ZVBFH732LYXQ,prim,20-2,20.0,2000.0,6905.956944443803
A304UJAE051J89,rec,20-2,20.0,2000.0,3588.862689400261
A312HQ3OU0EYTB,rec,20-2,20.0,2000.0,2331.3661616161617
A35S8HPY0V445,ns,20-2,20.0,2000.0,4953.3209280032725
A37GOI3N77WX21,ns,20-2,20.0,2000.0,5315.214583335638
A389UA2GRCJ6,prim,20-2,20.0,2000.0,3189.614583333333
A3A7XOKH39SYOI,prim,20-2,20.0,2000.0,4515.875198517527
A3B0CMCBWAND7,rec,20-2,20.0,2000.0,1810.3233332974498
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,5496.360100881017
A3CKVVGWBS4NGU,prim,20-2,20.0,2000.0,6042.696309623548
A3GDVKIN7ZGUG9,rec,20-2,20.0,2000.0,2532.3650793650795
A3HE29W5IDR394,rec,20-2,20.0,2000.0,1699.2484848484848
