subject,strategy,condition,l_length,pres_rate,r1_label,rt
A1AS1H21O9896X,ns,30-1,30.0,1000.0,rt_prim,7129.181944458849
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,rt_prim,8812.366666775197
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,rt_prim,2130.1365079384236
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,rt_prim,10739.40000000596
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,rt_prim,4852.066666666667
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,rt_prim,10587.413690425099
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,rt_prim,10127.583333406183
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,rt_prim,5961.899999896686
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,rt_prim,6920.720833174884
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,rt_prim,6480.428571428572
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,rt_prim,11336.619047619048
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,rt_prim,3776.6999999284744
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,rt_prim,3649.549567115793
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,rt_prim,7712.583333333334
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,rt_prim,5438.558333319922
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,rt_prim,2350.4444444444443
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,rt_prim,3043.619999966025
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,rt_prim,2980.0245535198064
AIDU49N2KO05N,ns,30-1,30.0,1000.0,rt_prim,6706.966666618983
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,rt_prim,5597.375
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,rt_prim,7875.020000000297
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,rt_prim,6508.028660719002
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,rt_prim,4998.798809524005
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,rt_prim,9332.736666576067
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,rt_prim,8444.333333333334
A248QG4DPULP46,ns,20-2,20.0,2000.0,rt_prim,656.9958333199224
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,rt_prim,4845.566666376023
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,rt_prim,5103.856666646842
A35S8HPY0V445,ns,20-2,20.0,2000.0,rt_prim,5882.265624934498
A37GOI3N77WX21,ns,20-2,20.0,2000.0,rt_prim,6547.425000008196
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,rt_prim,3282.7166665508644
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,rt_prim,12055.142857142857
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,rt_prim,1496.6666666666667
A3LXARU55PR281,ns,20-2,20.0,2000.0,rt_prim,5939.759259259259
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,rt_prim,9104.56250011921
A4HWADFPGP45G,ns,20-2,20.0,2000.0,rt_prim,6008.449999973887
AHZCC2V399WUN,ns,20-2,20.0,2000.0,rt_prim,4783.661458383003
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,rt_prim,5295.139583325712
A102WSFN62OS6I,ns,40-1,40.0,1000.0,rt_prim,5474.633333333334
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,rt_prim,3619.7483333552877
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,rt_prim,17727.205000548893
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,rt_prim,10520.433333322406
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,rt_prim,8318.97619047619
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,rt_prim,5517.333333452545
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,rt_prim,7779.173611058957
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,rt_prim,7599.25
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,rt_prim,3016.2581250429153
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,rt_prim,5409.526388893991
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,rt_prim,1178.5
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,rt_prim,8939.756249912083
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,rt_prim,2118.166666696469
AAVFHZA708CSP,ns,40-1,40.0,1000.0,rt_prim,4328.142857142858
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,rt_prim,10667.05
AFLRBB974KS6D,ns,40-1,40.0,1000.0,rt_prim,3004.941666701862
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,rt_prim,5062.695000068347
ANCTZADQC3D75,ns,40-1,40.0,1000.0,rt_prim,5554.266666666666
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,rt_prim,14080.926190476244
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,rt_rec,2981.498750007898
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,rt_rec,1810.333333323399
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,rt_rec,963.3749999995343
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,rt_rec,2210.2928572893143
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,rt_rec,1367.4267857169862
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,rt_rec,2223.0041666363054
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,rt_rec,12412.333333333332
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,rt_rec,4185.188492063492
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,rt_rec,1780.417045455269
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,rt_rec,8019.091666499774
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,rt_rec,1315.7068750161677
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,rt_rec,1855.7488888889031
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,rt_rec,4792.2817460317465
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,rt_rec,1801.98125
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,rt_rec,4816.047499979287
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,rt_rec,1732.3430555529064
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,rt_rec,2967.72555555635
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,rt_rec,3280.1998412004664
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,rt_rec,2690.421296296296
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,rt_rec,3483.5
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,rt_rec,5055.3650793650795
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,rt_rec,1640.4782142779657
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,rt_rec,3473.4166666666665
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,rt_rec,1149.1550000309944
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,rt_rec,3891.140151523505
A1OW27AZS122X2,ns,20-1,20.0,1000.0,rt_rec,2408.8652777861626
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,rt_rec,2775.991666674614
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,rt_rec,2791.278035743109
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,rt_rec,1851.471428496497
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,rt_rec,1365.9375
A2QY653X9531JP,ns,20-1,20.0,1000.0,rt_rec,3993.780714239393
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,rt_rec,890.0
A39R5EBK7W916X,ns,20-1,20.0,1000.0,rt_rec,8856.950000047684
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,rt_rec,3626.293749973178
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,rt_rec,4956.739285684767
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,rt_rec,1200.6250000596046
A50UY1556VDIA,ns,20-1,20.0,1000.0,rt_rec,7285.622222222221
AJD90361AJO80,ns,20-1,20.0,1000.0,rt_rec,5513.136904761905
AK52RXEJKR81A,ns,20-1,20.0,1000.0,rt_rec,4732.538889196184
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,rt_rec,4705.547619047619
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,rt_rec,3923.153571422611
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,rt_rec,1488.3550595113388
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,rt_rec,1052.5888888951806
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,rt_rec,6099.1611111111115
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,rt_rec,2014.8976190634191
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,rt_rec,5742.9848214291005
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,rt_rec,2392.7953750001197
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,rt_rec,755.1
A1WM3INNDW2776,ns,15-2,15.0,2000.0,rt_rec,2538.60303030303
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,rt_rec,5153.05625002512
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,rt_rec,1339.4777777791026
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,rt_rec,2125.7285714383634
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,rt_rec,1420.7562500139077
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,rt_rec,3773.66202022066
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,rt_rec,2493.3719697411166
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,rt_rec,1385.7625001782462
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,rt_rec,996.4761904761905
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,rt_rec,5588.772222251803
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,rt_rec,1887.3887500067244
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,rt_rec,2451.137500077486
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,rt_rec,4194.4
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,rt_rec,3936.2349999338394
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,rt_rec,3657.895833333333
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,rt_rec,2802.4500000715257
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,rt_rec,6686.909166671832
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,rt_rec,2565.2976190476193
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,rt_rec,5035.4499999086065
AESZJEZTZEW01,ns,15-2,15.0,2000.0,rt_rec,3566.6785713604518
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,rt_rec,1735.1187499463558
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,rt_rec,616.2000000765828
AW2UVK63OLFW,ns,15-2,15.0,2000.0,rt_rec,5400.9747916718325
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,rt_rec,9612.788333333156
A1AS1H21O9896X,ns,30-1,30.0,1000.0,rt_rec,2225.3733333776395
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,rt_rec,8077.084722280476
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,rt_rec,1243.6380952410398
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,rt_rec,4906.506250002266
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,rt_rec,3314.2000000000003
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,rt_rec,8250.616666316986
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,rt_rec,1434.6000000089407
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,rt_rec,3652.920833145579
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,rt_rec,6081.462499953806
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,rt_rec,2707.7916666666665
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,rt_rec,3820.984126984127
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,rt_rec,3191.3249999284744
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,rt_rec,3659.5768518668633
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,rt_rec,5074.833333333333
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,rt_rec,4573.00833332787
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,rt_rec,6092.260416666667
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,rt_rec,2179.329004307846
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,rt_rec,1234.2133333365123
AIDU49N2KO05N,ns,30-1,30.0,1000.0,rt_rec,2883.5333333313465
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,rt_rec,4438.9875
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,rt_rec,2821.3999999935427
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,rt_rec,4005.3595238146618
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,rt_rec,1684.2722222275206
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,rt_rec,6276.638333308697
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,rt_rec,6821.833333333333
A248QG4DPULP46,ns,20-2,20.0,2000.0,rt_rec,1854.1858333458504
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,rt_rec,2042.3999998569486
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,rt_rec,4246.011666612824
A35S8HPY0V445,ns,20-2,20.0,2000.0,rt_rec,4476.9825396575625
A37GOI3N77WX21,ns,20-2,20.0,2000.0,rt_rec,5331.859107145098
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,rt_rec,1661.4999999205272
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,rt_rec,3629.9166666666665
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,rt_rec,4514.083333333334
A3LXARU55PR281,ns,20-2,20.0,2000.0,rt_rec,1505.875
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,rt_rec,3328.164285864149
A4HWADFPGP45G,ns,20-2,20.0,2000.0,rt_rec,6082.003977199847
AHZCC2V399WUN,ns,20-2,20.0,2000.0,rt_rec,1138.6750000715258
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,rt_rec,8960.203988091649
A102WSFN62OS6I,ns,40-1,40.0,1000.0,rt_rec,9992.5
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,rt_rec,5506.2999999821195
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,rt_rec,4505.855555997955
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,rt_rec,2526.591666628917
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,rt_rec,3337.075
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,rt_rec,10425.166666666666
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,rt_rec,1063.6277778181764
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,rt_rec,2245.75
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,rt_rec,1473.1812500357626
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,rt_rec,2902.891874996759
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,rt_rec,3563.95
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,rt_rec,3824.1638888518014
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,rt_rec,2924.8730357096397
AAVFHZA708CSP,ns,40-1,40.0,1000.0,rt_rec,4622.583333333334
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,rt_rec,5037.75
AFLRBB974KS6D,ns,40-1,40.0,1000.0,rt_rec,1839.5187501907349
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,rt_rec,3635.7916667825643
ANCTZADQC3D75,ns,40-1,40.0,1000.0,rt_rec,2279.232142857143
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,rt_rec,2384.991666654435
