subject,condition,l_length,pres_rate,sp_sem,dec_sem,permutation_sp_sem,permutation_dec_sem
A10HW8JXM17XLD,10-2,10.0,2000.0,0.4376716590417342,0.4376716590417342,1.1130939099142332,1.1130939099142332
A12K1ADYMRSWMJ,10-2,10.0,2000.0,0.4937985217699404,0.4937985217699404,1.2867793644535515,1.2867793644535515
A14E4ISXVJVY6F,10-2,10.0,2000.0,0.0,0.0,1.1029517749546496,1.1029517749546496
A169XTOCOMO1MV,10-2,10.0,2000.0,1.212406711696606,1.212406711696606,1.3012231745730918,1.3012231745730918
A18NXRDHQ0ZSOY,10-2,10.0,2000.0,1.1580548873749976,1.1580548873749976,1.296186187860678,1.296186187860678
A1969Q0R4Y0E3J,10-2,10.0,2000.0,0.6267725482063359,0.6267725482063359,1.1314958713897005,1.1314958713897005
A1AKL5YH9NLD2V,10-2,10.0,2000.0,0.20512808806010746,0.20512808806010746,1.1697708812590086,1.1697708812590086
A1ARWNTZHGFG8Y,10-2,10.0,2000.0,0.9487835418002921,0.9487835418002921,1.0729395936337467,1.0729395936337467
A1F0R1MSPTXHHV,10-2,10.0,2000.0,0.7469170817465066,0.7469170817465066,1.1833337084709512,1.1833337084709512
A1GRPIBHW72HDU,10-2,10.0,2000.0,0.21009473618783947,0.21009473618783947,1.0943641602940066,1.0943641602940066
A1I9RLJQ0BYN21,10-2,10.0,2000.0,0.8816261743405214,0.8816261743405214,1.1389886098849566,1.1389886098849566
A1NG504QI5LI62,10-2,10.0,2000.0,0.0,0.0,1.273095168002781,1.273095168002781
A1NQ2A0UDW719R,10-2,10.0,2000.0,0.2713083160715837,0.2713083160715837,1.6951031862119668,1.6951031862119668
A1P00XZZG7EEEM,10-2,10.0,2000.0,0.4766442779051995,0.4766442779051995,1.4629998740741323,1.4629998740741323
A1RFDB2WUV7QRO,10-2,10.0,2000.0,0.8529521543032623,0.8529521543032623,1.0539071821964994,1.0539071821964994
A1V2H0UF94ATWY,10-2,10.0,2000.0,0.36954409512725434,0.36954409512725434,1.1144846699128563,1.1144846699128563
A1W7T8V97ZPUH0,10-2,10.0,2000.0,0.7559729298575469,0.7559729298575469,1.0310093142442487,1.0310093142442487
A1WJIRT360P5VB,10-2,10.0,2000.0,0.1298097996659295,0.1298097996659295,1.065673025262166,1.065673025262166
A1WPGNK8Y65BV3,10-2,10.0,2000.0,0.9403350055827242,0.9403350055827242,1.1057898693879125,1.1057898693879125
A1XMGLCK09Z0DW,10-2,10.0,2000.0,1.037622408984015,1.037622408984015,1.2904947132048872,1.2904947132048872
A1YA2FCN3KEK36,10-2,10.0,2000.0,0.13092028039929002,0.13092028039929002,1.13848159155702,1.13848159155702
A20GD3EBBTBYY2,10-2,10.0,2000.0,0.790847501803915,0.790847501803915,1.2261491216799107,1.2261491216799107
A24BRTWG07T53Z,10-2,10.0,2000.0,0.560002279075345,0.560002279075345,1.1345935878932405,1.1345935878932405
A27QXQ22F9ODSP,10-2,10.0,2000.0,0.6472095842812436,0.6472095842812436,1.3034549708901388,1.3034549708901388
A27T2Z568L69U1,10-2,10.0,2000.0,0.3540482110680304,0.3540482110680304,1.0842342760615766,1.0842342760615766
A282UM3NAIM0YO,10-2,10.0,2000.0,0.8624035531312543,0.8624035531312543,1.1820820316404206,1.1820820316404206
A2BREH6STESM0G,10-2,10.0,2000.0,0.7994691537452185,0.7994691537452185,1.316345309600175,1.316345309600175
A2FLBMZ38IZ2SQ,10-2,10.0,2000.0,0.2573336299493509,0.2573336299493509,1.1861325408082755,1.1861325408082755
A2FM1N5AOMVTGL,10-2,10.0,2000.0,0.33193341505975726,0.33193341505975726,1.3259695203883255,1.3259695203883255
A2FYFCD16Z3PCC,10-2,10.0,2000.0,0.3618214132869002,0.3618214132869002,1.0140876983411267,1.0140876983411267
A2H8PEGI28NKZD,10-2,10.0,2000.0,0.7662181298094685,0.7662181298094685,1.0890199367575382,1.0890199367575382
A2I6ZALE49CVSC,10-2,10.0,2000.0,0.5949052719621171,0.5949052719621171,0.8898256362461959,0.8898256362461959
A2KPEUCEE2M05G,10-2,10.0,2000.0,0.4375,0.4375,0.9766689858963381,0.9766689858963381
A2LJ1FRUYGW469,10-2,10.0,2000.0,0.9040325324908455,0.9040325324908455,1.1676161268828265,1.1676161268828265
A2M183CETUMR96,10-2,10.0,2000.0,0.3612947939898526,0.3612947939898526,0.8651734582748106,0.8651734582748106
A2MUOD1JHWJ735,10-2,10.0,2000.0,0.3797345313967038,0.3797345313967038,1.0611030711685228,1.0611030711685228
A2NXMRPHG86N2T,10-2,10.0,2000.0,0.7890346870834534,0.7890346870834534,1.051593222340911,1.051593222340911
A2PQDK3MLDFXYM,10-2,10.0,2000.0,0.17049245308347946,0.17049245308347946,0.9465636904487807,0.9465636904487807
A2QRJKXTK4JDD8,10-2,10.0,2000.0,0.8611805823923945,0.8611805823923945,1.2727988033161817,1.2727988033161817
A2R970Q1Q2A6DJ,10-2,10.0,2000.0,0.38259781968169215,0.38259781968169215,1.2243119798830844,1.2243119798830844
A2VIKZ73Y5ABHM,10-2,10.0,2000.0,1.200482060182315,1.200482060182315,1.1809212068841275,1.1809212068841275
A2WYZLG8J526TQ,10-2,10.0,2000.0,0.6060115510450275,0.6060115510450275,1.112881453692857,1.112881453692857
A33X52IN60MSOE,10-2,10.0,2000.0,0.6410772239915182,0.6410772239915182,1.1434673067481191,1.1434673067481191
A348NEQKS6VNIB,10-2,10.0,2000.0,0.6744904467106071,0.6744904467106071,1.1268398478000734,1.1268398478000734
A349BBTU7L597J,10-2,10.0,2000.0,1.0247279975786896,1.0247279975786896,1.2058754555574436,1.2058754555574436
A3C8JI69WPTKWH,10-2,10.0,2000.0,0.3721037019853196,0.3721037019853196,1.0449491471507952,1.0449491471507952
A3CE7DTHIB76UK,10-2,10.0,2000.0,0.9106826404994226,0.9106826404994226,1.190977201120983,1.190977201120983
A3G55RJTW3BSGM,10-2,10.0,2000.0,0.7162203643807719,0.7162203643807719,1.047264958296711,1.047264958296711
A3GC5Q5CLI4NWZ,10-2,10.0,2000.0,0.0478587443449824,0.0478587443449824,1.050263447442532,1.050263447442532
A3J55BJGV95JKH,10-2,10.0,2000.0,0.5065424376425216,0.5065424376425216,1.112200286643534,1.112200286643534
A3MJQ51KN9CMQ4,10-2,10.0,2000.0,0.8822858342012226,0.8822858342012226,1.417766296839038,1.417766296839038
A3MOL1L9V4BUGH,10-2,10.0,2000.0,0.6537405087820345,0.6537405087820345,0.9779706722646968,0.9779706722646968
A3NAONPCTVT6P1,10-2,10.0,2000.0,0.9345205494886946,0.9345205494886946,1.1717847065994098,1.1717847065994098
A3PJY7THMUIR4M,10-2,10.0,2000.0,0.9492909317603605,0.9492909317603605,1.2067214382168485,1.2067214382168485
A3VV3MW68CALXS,10-2,10.0,2000.0,0.0,0.0,2.07794011742235,2.07794011742235
A489K1IFOM4JW,10-2,10.0,2000.0,0.12572386653795176,0.12572386653795176,0.991944984775297,0.991944984775297
A49HPQ9P5AHU4,10-2,10.0,2000.0,0.45479879903802545,0.45479879903802545,1.1014351660732558,1.1014351660732558
A55MEA9LQASZH,10-2,10.0,2000.0,0.8838631520996525,0.8838631520996525,1.1541348344244617,1.1541348344244617
A5P12YJP805RG,10-2,10.0,2000.0,0.6212717328555583,0.6212717328555583,1.1305017577155332,1.1305017577155332
A5TWD5QD99GZY,10-2,10.0,2000.0,0.6968793559215496,0.6968793559215496,1.0065083505501153,1.0065083505501153
A63UHNWYOV5LE,10-2,10.0,2000.0,1.078934790271581,1.078934790271581,0.8367198659456028,0.8367198659456028
AEP8U373W5Q54,10-2,10.0,2000.0,0.021669604301036188,0.021669604301036188,1.2478856546857464,1.2478856546857464
AK2PMO5I7OCEK,10-2,10.0,2000.0,0.11949548934431772,0.11949548934431772,1.1707070973105265,1.1707070973105265
AKNU5D6QK7M72,10-2,10.0,2000.0,0.09617132339749693,0.09617132339749693,0.9785896779468386,0.9785896779468386
AO5FQ7GY8DTR8,10-2,10.0,2000.0,0.0,0.0,1.1831381388005227,1.1831381388005227
ARIWYNIH12MLF,10-2,10.0,2000.0,0.8397166417048901,0.8397166417048901,1.360403433730699,1.360403433730699
AS4FVWL91C6HR,10-2,10.0,2000.0,0.7015535845158014,0.7015535845158014,1.0971647366910422,1.0971647366910422
AWJKR5GA7BS7V,10-2,10.0,2000.0,0.38842047573660055,0.38842047573660055,1.193350254078073,1.193350254078073
AZ69TBTDH7AZS,10-2,10.0,2000.0,0.25459252558996764,0.25459252558996764,0.9864028719357635,0.9864028719357635
AZ8NNCT4AODDN,10-2,10.0,2000.0,0.8556083185869536,0.8556083185869536,1.541153084008838,1.541153084008838
A10JXOU89D5RXR,20-1,20.0,1000.0,1.4869866725175551,0.7434933362587776,2.3887845514012565,1.1943922757006282
A111FTKAAJ5UMC,20-1,20.0,1000.0,0.16837749844961372,0.08418874922480686,2.566327890143975,1.2831639450719876
A11EZAV2HRYKD5,20-1,20.0,1000.0,0.23219044499454955,0.11609522249727477,2.4567442754764635,1.2283721377382317
A157L6Z8QU3SDE,20-1,20.0,1000.0,0.5689991815981547,0.28449959079907733,2.428116393121917,1.2140581965609585
A16GIPTDMJAFTK,20-1,20.0,1000.0,1.981937996620177,0.9909689983100884,2.5930244059649468,1.2965122029824734
A17R7WX5B0CKK6,20-1,20.0,1000.0,0.6862401610432476,0.3431200805216238,2.6925666393928185,1.3462833196964092
A17WB66BXX4R0J,20-1,20.0,1000.0,0.16071194464085958,0.08035597232042979,2.4837471938928695,1.2418735969464347
A19QRXLWV5GKXN,20-1,20.0,1000.0,1.62698683292709,0.813493416463545,2.3443488441319715,1.1721744220659858
A1CKIYN01NV9GJ,20-1,20.0,1000.0,1.660643552126517,0.8303217760632585,2.409360247315602,1.204680123657801
A1HLDOM6JTYYI2,20-1,20.0,1000.0,1.1221884312365515,0.5610942156182758,2.550331177143059,1.2751655885715294
A1HR8IRDC07FO9,20-1,20.0,1000.0,1.3981742248043108,0.6990871124021554,2.549740116373578,1.274870058186789
A1J6CZ176U6GDT,20-1,20.0,1000.0,0.5071398869969911,0.25356994349849554,2.4852895212143236,1.2426447606071618
A1J9VZ372FV2QZ,20-1,20.0,1000.0,1.3129143860301038,0.6564571930150519,2.726885946493618,1.363442973246809
