subject,strategy,condition,l_length,pres_rate,ln_39,ln_38,ln_37,ln_36,ln_35,ln_34,ln_33,ln_32,ln_31,ln_30,ln_29,ln_28,ln_27,ln_26,ln_25,ln_24,ln_23,ln_22,ln_21,ln_20,ln_19,ln_18,ln_17,ln_16,ln_15,ln_14,ln_13,ln_12,ln_11,ln_10,ln_9,ln_8,ln_7,ln_6,ln_5,ln_4,ln_3,ln_2,ln_1,lp_1,lp_2,lp_3,lp_4,lp_5,lp_6,lp_7,lp_8,lp_9,lp_10,lp_11,lp_12,lp_13,lp_14,lp_15,lp_16,lp_17,lp_18,lp_19,lp_20,lp_21,lp_22,lp_23,lp_24,lp_25,lp_26,lp_27,lp_28,lp_29,lp_30,lp_31,lp_32,lp_33,lp_34,lp_35,lp_36,lp_37,lp_38,lp_39
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.0,0.16666666666666666,0.5714285714285714,0.0,0.0,0.3125,0.125,0.33116883116883117,0.3611111111111111,0.0625,0.0625,0.5714285714285714,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.041666666666666664,0.16666666666666666,0.11904761904761904,0.14441287878787878,0.11734997029114677,0.21962759462759462,0.10833333333333334,0.2777157053472843,0.4697802197802198,0.18776709401709402,0.14791666666666667,0.0625,0.3333333333333333,0.08333333333333333,0.1111111111111111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.125,0.07142857142857142,0.041666666666666664,0.08571428571428572,0.19821428571428573,0.11805555555555555,0.08106060606060606,0.10541958041958042,0.48037766830870277,0.23979076479076478,0.05357142857142857,0.15,0.11458333333333333,0.0,0.0,0.21428571428571427,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,0.15000000000000002,0.13601190476190475,0.1703892083149049,0.2057900432900433,0.17826131577068607,0.31102756892230576,0.6663194444444445,0.07478632478632478,0.06666666666666667,0.0625,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.375,0.29166666666666663,0.20833333333333331,0.16517857142857142,0.06349206349206349,0.05277777777777778,0.06944444444444445,0.3659006112566484,0.34623121976063154,0.1627435064935065,0.1384920634920635,0.1294642857142857,0.05,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.4,0.10416666666666666,0.24805194805194805,0.1917892156862745,0.22115384615384615,0.18207070707070705,0.2376925770308123,0.16468253968253968,0.12505570409982175,0.24578373015873015,0.15760233918128655,0.2883440089322442,0.2648989898989899,0.1607142857142857,0.09375,0.05,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.022727272727272728,0.017857142857142856,0.015625,0.025,0.7569389268499391,0.22045454545454546,0.039227413453419645,0.0,0.041666666666666664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.16666666666666666,0.125,0.13333333333333333,0.07291666666666666,0.08173076923076923,0.125,0.6415719696969697,0.2369047619047619,0.06315789473684211,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1111111111111111,0.041666666666666664,0.0,0.0,0.022727272727272728,0.10195360195360195,0.03571428571428571,0.25744047619047616,0.44956709956709956,0.4178571428571428,0.3333333333333333,0.3125,0.27777777777777773,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.10267857142857142,0.04700854700854701,0.11091430499325236,0.08179271708683473,0.10732600732600732,0.1595238095238095,0.6512451115711986,0.16976502557544756,0.16173744019138755,0.08333333333333333,0.03571428571428571,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27T2Z568L69U1,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.03125,0.0,0.0,0.019230769230769232,0.8413163163163163,0.18641774891774893,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.25,0.35714285714285715,0.13541666666666666,0.1625,0.13333333333333333,0.1111111111111111,0.1382734912146677,0.15327380952380953,0.3717532467532467,0.1564814814814815,0.2125,0.05416666666666667,0.1755050505050505,0.175,0.125,0.08333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2BREH6STESM0G,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.05,0.11458333333333333,0.3269230769230769,0.3028846153846154,0.3382867132867133,0.13286713286713286,0.13333333333333333,0.10555555555555556,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
