subject,strategy,condition,l_length,pres_rate,rot,irt
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,-3,5091.975608771401
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,-3,6248.554166665455
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,-3,3559.625
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,-3,1767.2395833530659
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,-3,9319.562500071712
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,-3,3951.9761904761904
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,-3,4754.571666794334
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,-3,3923.035606060497
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,-3,2650.7168750703336
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,-3,4294.220075757576
A50UY1556VDIA,ns,20-1,20.0,1000.0,-3,4749.575
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,-3,2813.379549061607
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,-3,4277.625
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,-3,6167.448200792525
AJD90361AJO80,ns,20-1,20.0,1000.0,-3,7056.00625
AK52RXEJKR81A,ns,20-1,20.0,1000.0,-3,3749.460303060936
AMJAZPJBO936R,prim,20-1,20.0,1000.0,-3,9833.666666653422
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,-3,4050.713095238095
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,-3,3664.41777775685
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,-3,7858.0
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,-3,4799.555555555556
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,-3,5463.832671957673
AZZA3J049G7R5,rec,20-1,20.0,1000.0,-3,3486.8450000000184
A102RSV009OCUW,prim,15-2,15.0,2000.0,-3,3945.717261904762
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,-3,11583.18333333265
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,-3,3778.1241161616163
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,-3,3495.779166660848
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,-3,6604.719642857142
A151XA53WYXVD7,prim,15-2,15.0,2000.0,-3,3674.366666666667
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,-3,2956.8412499099973
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,-3,2739.5695238115
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,-3,2294.5333333342955
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,-3,5171.666666666667
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,-3,2648.3958333355376
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,-3,3389.5483333826064
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,-3,3580.266369047619
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,-3,3359.142857142857
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,-3,2083.0166666651303
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,-3,2169.6333332955837
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,-3,6704.115932449376
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,-3,3492.527777777778
A1UOP419O6P55R,prim,15-2,15.0,2000.0,-3,5701.833333333333
A1WM3INNDW2776,ns,15-2,15.0,2000.0,-3,5422.646825396825
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,-3,5891.250000052983
A2113B699TVADG,prim,15-2,15.0,2000.0,-3,4206.708333333333
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,-3,6881.104166685542
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,-3,3358.512592593525
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,-3,2684.2349999864896
A233LLG8YAXWF,rec,15-2,15.0,2000.0,-3,3776.8052083348157
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,-3,2670.306249999834
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,-3,4599.277500028412
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,-3,4663.625
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,-3,4096.747500008251
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,-3,3051.208333333333
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,-3,4701.683333320088
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,-3,3257.8166667222977
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,-3,3790.8944444444446
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,-3,5221.450625007103
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,-3,1870.4808080683865
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,-3,5656.399166666468
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,-3,3556.5753968253966
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,-3,4142.437500001474
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,-3,3523.875
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,-3,3606.7666666668324
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,-3,4922.6463293650795
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,-3,4828.895833326521
A310Y949ILSN3P,prim,15-2,15.0,2000.0,-3,3331.554166666667
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,-3,4206.964285714286
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,-3,3858.7597222222225
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,-3,4551.225000000852
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,-3,2963.0759740259737
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,-3,1820.7795833331222
A35VI4SE31HD17,prim,15-2,15.0,2000.0,-3,7316.306250005185
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,-3,6310.961309523809
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,-3,4746.585218183578
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,-3,4011.9124999617534
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,-3,6947.5
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,-3,5064.2012500089595
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,-3,4652.554166666667
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,-3,2917.324999809265
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,-3,1602.321428520339
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,-3,3403.0560714361213
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,-3,3718.299107142857
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,-3,5145.962797619048
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,-3,4178.066071428571
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,-3,3376.4450000108536
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,-3,6810.333333333333
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,-3,6233.458333333333
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,-3,4289.651785714286
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,-3,5235.702777777778
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,-3,5679.113541687528
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,-3,4271.852083364294
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,-3,4807.083333333333
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,-3,2455.5396825396824
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,-3,3573.290228160837
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,-3,5881.256969752456
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,-3,5595.822916660613
AERGHZBQFT309,ns,15-2,15.0,2000.0,-3,3241.6319805325547
AESZJEZTZEW01,ns,15-2,15.0,2000.0,-3,12604.909999918938
AEX1I7K7OVHHC,rec,15-2,15.0,2000.0,-3,4317.069444444444
AEXRVIK8SKB4V,prim,15-2,15.0,2000.0,-3,4638.550000064075
AF0W4ZBY7VXOU,rec,15-2,15.0,2000.0,-3,3846.927083327435
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,-3,3723.216666658719
AGANKP4PUZ4NC,prim,15-2,15.0,2000.0,-3,4217.549999976158
AHY3YAYJLTW32,rec,15-2,15.0,2000.0,-3,2250.5625
AL9SYQEUTNJXT,prim,15-2,15.0,2000.0,-3,5132.285714298487
ALDQRWYZ8KQ9A,rec,15-2,15.0,2000.0,-3,3347.6000000008694
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,-3,1266.342053544947
AOIR8V07FYMH5,rec,15-2,15.0,2000.0,-3,2418.8018181839534
AR0VJ5XRG16UJ,rec,15-2,15.0,2000.0,-3,5512.25
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,-3,3188.62107142869
AW2UVK63OLFW,ns,15-2,15.0,2000.0,-3,3740.50956344349
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,-3,3791.7784090894697
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,-3,2792.9400793650793
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,-3,3560.089285714286
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,-3,3804.2976190476193
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,-3,4757.482222227374
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,-3,4341.050000000512
A16335MOISDG1F,rec,30-1,30.0,1000.0,-3,2555.174999999883
A17FJLW818UEQU,rec,30-1,30.0,1000.0,-3,3748.933333333333
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,-3,4360.311111110821
A1AS1H21O9896X,ns,30-1,30.0,1000.0,-3,5807.627083337556
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,-3,4606.714285714286
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,-3,7199.133838383838
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,-3,2221.1749999988824
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,-3,3933.583333333333
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,-3,4539.907142857142
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,-3,3654.862569452953
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,-3,4127.40625
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,-3,3696.0833333333335
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,-3,4067.7368686868685
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,-3,5079.662499979138
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,-3,1951.5823908776401
A1T2P6E67251U5,prim,30-1,30.0,1000.0,-3,3225.75
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,-3,5293.407070681528
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,-3,2847.875
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,-3,5271.020833333333
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,-3,2827.1875000298023
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,-3,5700.4125
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,-3,6262.597222222223
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,-3,5563.182467532468
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,-3,7349.702922077922
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,-3,1573.1995238108295
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,-3,2432.199999999255
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,-3,6168.862499999814
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,-3,2820.250000476837
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,-3,4933.2674999857945
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,-3,4504.882794617547
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,-3,2280.375
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,-3,3299.973392856121
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,-3,6133.353054353054
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,-3,3396.4240740040937
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,-3,3844.9098484756973
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,-3,4578.426071460545
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,-3,7167.854414660306
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,-3,4160.475000023842
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,-3,9118.718181831187
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,-3,5572.604464304116
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,-3,3056.112500006954
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,-3,3244.841111128789
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,-3,3472.9333333333334
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,-3,5102.228282821299
A30DHHAL100LZR,ns,30-1,30.0,1000.0,-3,6016.012987012987
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,-3,5032.452380952381
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,-3,5066.644861112287
A36IB78C6MVA3,prim,30-1,30.0,1000.0,-3,3845.8958333333335
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,-3,3207.5599999785422
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,-3,2756.0666666825614
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,-3,6737.510416666666
A3I97794CB5SUO,rec,30-1,30.0,1000.0,-3,4744.371212121212
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,-3,4363.0
A3TX84QHD321M7,prim,30-1,30.0,1000.0,-3,4976.752777777778
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,-3,3224.8011363636365
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,-3,6396.487556811625
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,-3,5371.7875
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,-3,6223.675
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,-3,7814.912499999007
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,-3,3875.527777777778
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,-3,4143.787878790108
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,-3,3289.77727275274
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,-3,3163.460317465048
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,-3,3488.3994949324265
AIDU49N2KO05N,ns,30-1,30.0,1000.0,-3,3075.948749998957
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,-3,4990.091540404041
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,-3,4864.872222211626
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,-3,2354.716287869283
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,-3,5651.951111124621
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,-3,4815.354629641882
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,-3,3423.9468750096858
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,-3,7858.288095238096
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,-3,2429.9031746803767
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,-3,4929.5625
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,-3,7683.1303571444005
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,-3,6217.47041666718
A166P9BSWIFF32,prim,20-2,20.0,2000.0,-3,2696.3214285714284
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,-3,4420.028571428571
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,-3,3724.1055555555554
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,-3,3915.4906249834457
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,-3,3745.13444444057
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,-3,2753.5666666825614
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,-3,6000.9933333079025
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,-3,5415.874999821186
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,-3,4057.9166666666665
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,-3,3139.541944444627
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,-3,5598.196136381409
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,-3,5615.11111111111
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,-3,
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,-3,2368.277777777778
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,-3,3553.191666687528
A1TPGXT718D68E,rec,20-2,20.0,2000.0,-3,3967.368452382041
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,-3,4371.133333333333
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,-3,5374.9749999940395
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,-3,4154.576388888889
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,-3,
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,-3,4029.666666666667
A248QG4DPULP46,ns,20-2,20.0,2000.0,-3,3386.714166683952
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,-3,1885.075
A25VK411P03A5T,rec,20-2,20.0,2000.0,-3,3169.6666666666665
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,-3,4042.1201388899544
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,-3,5786.299999872844
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,-3,4170.779375088215
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,-3,4223.987936551609
