subject,strategy,condition,l_length,pres_rate,mwr
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,10.4375
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,11.229166666666666
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,8.583333333333332
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,4.805555555555556
A1UOP419O6P55R,prim,15-2,15.0,2000.0,9.416666666666666
A1WM3INNDW2776,ns,15-2,15.0,2000.0,5.520833333333333
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,5.354166666666667
A2113B699TVADG,prim,15-2,15.0,2000.0,10.208333333333332
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,6.125000000000001
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,6.583333333333333
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,7.291666666666667
A233LLG8YAXWF,rec,15-2,15.0,2000.0,5.416666666666666
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,11.625
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,5.875000000000001
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,5.125
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,8.75
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,5.25
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,8.416666666666666
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,10.5
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,5.979166666666666
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,7.958333333333333
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,6.854166666666667
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,7.583333333333334
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,8.25
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,10.1875
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,6.833333333333333
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,6.9375
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,6.166666666666667
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,7.770833333333332
A310Y949ILSN3P,prim,15-2,15.0,2000.0,10.833333333333332
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,4.645833333333333
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,8.5625
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,8.1875
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,7.395833333333333
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,5.083333333333334
A35VI4SE31HD17,prim,15-2,15.0,2000.0,5.4375
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,8.25
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,8.854166666666666
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,10.895833333333332
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,3.25
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,6.416666666666666
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,5.895833333333333
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,9.125
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,5.166666666666667
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,8.291666666666666
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,6.645833333333333
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,7.958333333333334
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,10.083333333333332
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,10.3125
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,10.5
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,4.104166666666667
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,7.541666666666667
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,8.25
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,6.25
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,6.895833333333333
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,5.833333333333333
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,6.416666666666666
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,8.624999999999998
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,4.958333333333333
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,7.479166666666667
AERGHZBQFT309,ns,15-2,15.0,2000.0,7.354166666666667
AESZJEZTZEW01,ns,15-2,15.0,2000.0,5.583333333333333
AEX1I7K7OVHHC,rec,15-2,15.0,2000.0,5.888888888888889
AEXRVIK8SKB4V,prim,15-2,15.0,2000.0,5.791666666666666
AF0W4ZBY7VXOU,rec,15-2,15.0,2000.0,8.770833333333334
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,3.8333333333333335
AGANKP4PUZ4NC,prim,15-2,15.0,2000.0,4.083333333333334
AHY3YAYJLTW32,rec,15-2,15.0,2000.0,5.166666666666667
AL9SYQEUTNJXT,prim,15-2,15.0,2000.0,8.125
ALDQRWYZ8KQ9A,rec,15-2,15.0,2000.0,12.624999999999998
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,5.645833333333333
AOIR8V07FYMH5,rec,15-2,15.0,2000.0,7.791666666666667
AR0VJ5XRG16UJ,rec,15-2,15.0,2000.0,10.416666666666668
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,7.770833333333334
AW2UVK63OLFW,ns,15-2,15.0,2000.0,8.8125
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,8.3125
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,6.708333333333333
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,8.625
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,7.812500000000001
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,7.854166666666667
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,16.895833333333332
A16335MOISDG1F,rec,30-1,30.0,1000.0,7.333333333333334
A17FJLW818UEQU,rec,30-1,30.0,1000.0,10.583333333333334
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,12.291666666666668
A1AS1H21O9896X,ns,30-1,30.0,1000.0,7.0
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,10.708333333333334
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,9.583333333333334
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,16.041666666666664
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,10.104166666666666
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,10.083333333333334
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,8.791666666666666
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,8.729166666666666
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,5.291666666666666
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,11.5
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,15.083333333333334
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,7.520833333333333
A1T2P6E67251U5,prim,30-1,30.0,1000.0,15.979166666666668
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,10.791666666666668
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,16.458333333333332
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,6.375
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,6.416666666666667
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,13.0625
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,9.416666666666666
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,11.791666666666666
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,7.895833333333333
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,6.666666666666667
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,19.520833333333332
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,9.0625
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,17.395833333333332
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,10.708333333333334
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,9.194444444444445
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,17.333333333333332
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,9.729166666666666
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,8.222222222222221
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,6.5
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,11.111111111111109
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,8.354166666666666
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,7.770833333333334
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,8.472222222222221
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,7.5
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,8.0625
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,15.770833333333332
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,7.229166666666667
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,12.875
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,11.041666666666666
A30DHHAL100LZR,ns,30-1,30.0,1000.0,11.708333333333332
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,7.666666666666667
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,7.770833333333333
A36IB78C6MVA3,prim,30-1,30.0,1000.0,9.291666666666668
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,12.645833333333334
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,18.770833333333336
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,7.625000000000001
A3I97794CB5SUO,rec,30-1,30.0,1000.0,8.270833333333334
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,19.791666666666668
A3TX84QHD321M7,prim,30-1,30.0,1000.0,9.729166666666666
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,9.437500000000002
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,9.874999999999998
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,12.0625
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,7.979166666666666
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,5.229166666666667
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,9.979166666666666
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,9.833333333333332
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,10.666666666666668
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,6.0
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,6.875
AIDU49N2KO05N,ns,30-1,30.0,1000.0,14.416666666666666
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,9.8125
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,8.625
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,11.416666666666666
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,5.666666666666666
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,9.722222222222221
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,13.0
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,6.291666666666667
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,9.666666666666668
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,7.291666666666667
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,6.958333333333334
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,12.104166666666666
A166P9BSWIFF32,prim,20-2,20.0,2000.0,10.208333333333332
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,7.777777777777779
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,8.354166666666668
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,11.375
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,10.229166666666666
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,15.166666666666666
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,4.166666666666666
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,5.375
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,11.791666666666666
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,8.895833333333334
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,9.38888888888889
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,5.111111111111111
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,4.812499999999999
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,9.805555555555555
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,7.812500000000001
A1TPGXT718D68E,rec,20-2,20.0,2000.0,7.520833333333333
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,5.687500000000001
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,15.3125
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,10.145833333333332
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,16.125
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,8.541666666666666
A248QG4DPULP46,ns,20-2,20.0,2000.0,5.8125
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,6.125000000000001
A25VK411P03A5T,rec,20-2,20.0,2000.0,14.708333333333332
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,6.604166666666667
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,4.625
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,10.354166666666666
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,9.979166666666668
A2KHR0GTA0DBWI,rec,20-2,20.0,2000.0,8.729166666666666
A2KT30RCVX67ZS,prim,20-2,20.0,2000.0,8.875
A2MMGDAA7JJKIE,prim,20-2,20.0,2000.0,8.104166666666666
A2MOKIEQZ0OF2M,prim,20-2,20.0,2000.0,12.888888888888888
A2NZ783AY1LBPW,prim,20-2,20.0,2000.0,11.166666666666666
A2NZAL7KHOR6VF,rec,20-2,20.0,2000.0,11.604166666666666
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,5.833333333333333
A2P2YEHX1FXD20,rec,20-2,20.0,2000.0,6.611111111111111
A2QHI85LQPJZYP,prim,20-2,20.0,2000.0,10.777777777777779
A2SSY7MHPDQVUS,prim,20-2,20.0,2000.0,8.375
A2UX2W49R55PH4,prim,20-2,20.0,2000.0,4.604166666666666
A2VIKCIM9TZL22,rec,20-2,20.0,2000.0,6.638888888888889
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,11.395833333333332
A2XVLOZY7FJCC2,rec,20-2,20.0,2000.0,8.354166666666666
A2ZVBFH732LYXQ,prim,20-2,20.0,2000.0,12.479166666666666
A304UJAE051J89,rec,20-2,20.0,2000.0,11.229166666666668
A312HQ3OU0EYTB,rec,20-2,20.0,2000.0,7.9444444444444455
A35S8HPY0V445,ns,20-2,20.0,2000.0,7.625
A37GOI3N77WX21,ns,20-2,20.0,2000.0,11.104166666666666
A389UA2GRCJ6,prim,20-2,20.0,2000.0,5.958333333333334
A3A7XOKH39SYOI,prim,20-2,20.0,2000.0,7.291666666666667
A3B0CMCBWAND7,rec,20-2,20.0,2000.0,9.958333333333334
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,6.083333333333334
A3CKVVGWBS4NGU,prim,20-2,20.0,2000.0,11.270833333333334
A3GDVKIN7ZGUG9,rec,20-2,20.0,2000.0,9.208333333333332
A3HE29W5IDR394,rec,20-2,20.0,2000.0,11.166666666666668
A3HYH6OVZQ5MIY,ns,20-2,20.0,2000.0,8.0
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,5.888888888888889
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,5.166666666666667
A3LVLZS8S41ZD7,rec,20-2,20.0,2000.0,13.0
A3LXARU55PR281,ns,20-2,20.0,2000.0,8.583333333333332
A3TR3KIRG5PCZ8,prim,20-2,20.0,2000.0,7.166666666666666
A3U2A632YWEX7B,prim,20-2,20.0,2000.0,10.916666666666666
A3U69MNO1JC7V4,rec,20-2,20.0,2000.0,13.791666666666666
A3UMHUWJKRGKNR,rec,20-2,20.0,2000.0,10.4375
