subject,strategy,condition,l_length,pres_rate,intrusion,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.125,0.041666666666666664,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.4625,0.0625,0.175,0.05,0.0,0.0,0.0,0.0,0.0,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
