subject,strategy,condition,l_length,pres_rate,tcl_h1,tcl_h2,tcl_delta
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,0.7328098695286196,0.49692760942760944,-0.2358822601010101
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,0.9486137192145376,0.8926959325396825,-0.05591778667485514
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,0.9727994227994228,0.9666164622414624,-0.00618296055796054
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,0.7822452128999748,0.728966049382716,-0.05327916351725876
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,0.7604352678571428,0.6297089120370369,-0.1307263558201058
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,0.7011023553992304,0.5537001337782588,-0.1474022216209716
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,0.9192884950697451,0.6907354797979798,-0.22855301527176525
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,0.807054722930839,0.696969246031746,-0.11008547689909297
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,0.6174107142857143,0.7332341269841269,0.11582341269841268
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,0.8372623181216932,0.539380787037037,-0.2978815310846561
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.8553757440476191,0.7162615740740741,-0.139114169973545
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.9511422821969697,0.9264813311688312,-0.024660951028138537
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.8854166666666667,0.840625,-0.044791666666666674
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.8388392857142857,0.8049107142857144,-0.03392857142857142
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.8447916666666667,0.5530555555555556,-0.29173611111111114
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.8796626984126983,0.6402690972222222,-0.2393936011904762
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.7471729143046107,0.681140695861678,-0.06603221844293271
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.9217002615440115,0.6989188762626262,-0.22278138528138527
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.8070842352092352,0.5656398809523809,-0.2414443542568543
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.3881888640873016,0.47828844246031743,0.09009957837301585
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,0.9379369803476946,0.8238260582010581,-0.11411092214663643
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,0.7497733902588813,0.7786568562610229,0.028883466002141596
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,0.7372849589646465,0.706724800084175,-0.030560158880471398
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,0.7916111583522298,0.7515115189594357,-0.040099639392794165
A27T2Z568L69U1,prim,10-2,10.0,2000.0,0.8716819019274377,0.8489962121212121,-0.022685689806225533
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,0.6985809948979592,0.629375,-0.0692059948979592
A2BREH6STESM0G,rec,10-2,10.0,2000.0,0.7257998511904762,0.744437003968254,0.018637152777777763
A2FLBMZ38IZ2SQ,prim,10-2,10.0,2000.0,0.9626087887806638,0.8868144991582492,-0.07579428962241462
A2FM1N5AOMVTGL,prim,10-2,10.0,2000.0,0.9236731150793651,0.8949590773809524,-0.028714037698412704
A2FYFCD16Z3PCC,rec,10-2,10.0,2000.0,0.7625768473424723,0.6757395006613756,-0.08683734668109669
A2H8PEGI28NKZD,ns,10-2,10.0,2000.0,0.7770711204304954,0.7363405257936508,-0.04073059463684464
A2I6ZALE49CVSC,prim,10-2,10.0,2000.0,0.8900519330206831,0.43471783810325476,-0.45533409491742827
A2KPEUCEE2M05G,prim,10-2,10.0,2000.0,0.7198206018518518,0.682175925925926,-0.03764467592592594
A2LJ1FRUYGW469,ns,10-2,10.0,2000.0,0.7706941438191439,0.8307503858024692,0.060056241983325306
A2M183CETUMR96,rec,10-2,10.0,2000.0,0.8605427414021165,0.656958912037037,-0.20358382936507938
A2MUOD1JHWJ735,ns,10-2,10.0,2000.0,0.7942446225649351,0.6753708964646464,-0.11887372610028862
A2NXMRPHG86N2T,ns,10-2,10.0,2000.0,0.7739714856902358,0.6440451388888888,-0.1299263468013468
A2PQDK3MLDFXYM,rec,10-2,10.0,2000.0,0.8693853527837903,0.6435395622895623,-0.22584579049422804
A2QRJKXTK4JDD8,ns,10-2,10.0,2000.0,0.928999255952381,0.8916927083333334,-0.03730654761904763
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.8038637329931972,0.7645006613756613,-0.03936307161753591
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.6770307708784271,0.7910661300505051,0.11403535917207791
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.9089230599647267,0.8135030864197531,-0.09541997354497356
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.7413104256854257,0.36991161616161616,-0.37139880952380955
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.6076862373737373,0.6700789141414142,0.06239267676767677
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.8609002976190476,0.7898809523809524,-0.07101934523809525
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.748830191798942,0.5800347222222223,-0.1687954695767196
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.8303808618354749,0.7385331927910053,-0.09184766904446964
