subject,condition,l_length,pres_rate,prim_slope,prim_intercept,rec_slope,rec_intercept
A10HW8JXM17XLD,10-2,10.0,2000.0,0.00625,0.4479166666666667,0.08541666666666665,0.48958333333333337
A12K1ADYMRSWMJ,10-2,10.0,2000.0,0.029166666666666674,0.5625,1.1102230246251566e-17,0.6125
A14E4ISXVJVY6F,10-2,10.0,2000.0,0.002083333333333315,0.8354166666666666,-0.035416666666666666,0.9645833333333331
A169XTOCOMO1MV,10-2,10.0,2000.0,0.0,0.47916666666666663,0.04375000000000001,0.3354166666666666
A18NXRDHQ0ZSOY,10-2,10.0,2000.0,0.0,0.55,-0.00625,0.59375
A1969Q0R4Y0E3J,10-2,10.0,2000.0,0.03333333333333334,0.38333333333333336,0.06666666666666667,0.47500000000000003
A1AKL5YH9NLD2V,10-2,10.0,2000.0,0.02083333333333334,0.7208333333333334,-0.004166666666666674,0.9208333333333333
A1ARWNTZHGFG8Y,10-2,10.0,2000.0,-0.02291666666666667,0.5145833333333333,0.002083333333333343,0.44375
A1F0R1MSPTXHHV,10-2,10.0,2000.0,0.014583333333333321,0.26458333333333334,-0.018750000000000003,0.35208333333333336
A1GRPIBHW72HDU,10-2,10.0,2000.0,-0.05624999999999998,0.7979166666666666,0.11874999999999998,0.44375
A1I9RLJQ0BYN21,10-2,10.0,2000.0,-0.03333333333333334,0.625,0.029166666666666674,0.3708333333333333
A1NG504QI5LI62,10-2,10.0,2000.0,0.01249999999999999,0.6458333333333334,0.029166666666666664,0.6125
A1NQ2A0UDW719R,10-2,10.0,2000.0,0.0020833333333333316,0.31041666666666673,0.05208333333333334,0.2020833333333333
A1P00XZZG7EEEM,10-2,10.0,2000.0,0.016666666666666673,0.34166666666666656,0.02916666666666667,0.27083333333333326
A1RFDB2WUV7QRO,10-2,10.0,2000.0,-0.050000000000000024,0.6083333333333334,0.08749999999999998,0.26250000000000007
A1V2H0UF94ATWY,10-2,10.0,2000.0,0.02083333333333335,0.37499999999999994,0.09791666666666667,0.4895833333333332
A1W7T8V97ZPUH0,10-2,10.0,2000.0,0.025000000000000012,0.48749999999999993,-0.004166666666666663,0.5625
A1WJIRT360P5VB,10-2,10.0,2000.0,0.004166666666666674,0.47083333333333327,0.09375,0.59375
A1WPGNK8Y65BV3,10-2,10.0,2000.0,-0.09583333333333333,0.8458333333333333,0.14791666666666667,0.14375000000000004
A1XMGLCK09Z0DW,10-2,10.0,2000.0,-0.018750000000000003,0.76875,-0.04375000000000001,0.83125
A1YA2FCN3KEK36,10-2,10.0,2000.0,-0.025000000000000036,0.6583333333333334,0.010416666666666685,0.6020833333333333
A20GD3EBBTBYY2,10-2,10.0,2000.0,0.002083333333333315,0.59375,0.03958333333333334,0.4520833333333334
A24BRTWG07T53Z,10-2,10.0,2000.0,-0.12083333333333335,0.8166666666666668,0.1625,0.03749999999999998
A27QXQ22F9ODSP,10-2,10.0,2000.0,0.014583333333333327,0.5520833333333335,0.02499999999999998,0.5583333333333335
A27T2Z568L69U1,10-2,10.0,2000.0,-0.022916666666666686,0.6645833333333334,0.014583333333333327,0.6312500000000001
A282UM3NAIM0YO,10-2,10.0,2000.0,0.004166666666666641,0.55,-0.016666666666666653,0.6583333333333332
A2BREH6STESM0G,10-2,10.0,2000.0,0.002083333333333337,0.36458333333333337,0.04583333333333334,0.27499999999999997
A2FLBMZ38IZ2SQ,10-2,10.0,2000.0,-0.002083333333333337,0.75625,0.04999999999999999,0.5875000000000001
A2FM1N5AOMVTGL,10-2,10.0,2000.0,0.031250000000000014,0.4979166666666666,0.050000000000000024,0.39166666666666666
A2FYFCD16Z3PCC,10-2,10.0,2000.0,-0.008333333333333337,0.9,0.027083333333333327,0.8145833333333334
A2H8PEGI28NKZD,10-2,10.0,2000.0,-0.07083333333333335,0.7583333333333333,0.13541666666666669,0.23541666666666666
A2I6ZALE49CVSC,10-2,10.0,2000.0,-0.15625,1.2270833333333333,0.1645833333333333,-0.18958333333333333
