subject,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A10HW8JXM17XLD,10-2,10.0,2000.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,10-2,10.0,2000.0,0.7875,0.1375,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,10-2,10.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,10-2,10.0,2000.0,0.3701388888888889,0.15,0.03125,0.025,0.03125,0.0,0.025,0.0625,0.0,0.30486111111111114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,10-2,10.0,2000.0,0.19285714285714284,0.15714285714285714,0.025,0.025,0.12142857142857143,0.08571428571428572,0.0,0.025,0.025,0.34285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,10-2,10.0,2000.0,0.04583333333333334,0.0,0.04772727272727273,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.025,0.13522727272727272,0.4386363636363636,0.22424242424242427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,10-2,10.0,2000.0,0.0,0.0,0.0,0.125,0.35416666666666663,0.20833333333333331,0.27083333333333337,0.020833333333333332,0.020833333333333332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,10-2,10.0,2000.0,0.4292929292929293,0.1691919191919192,0.10101010101010102,0.045454545454545456,0.0,0.027777777777777776,0.0,0.0,0.06818181818181818,0.1590909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,10-2,10.0,2000.0,0.2009920634920635,0.2741071428571429,0.1419642857142857,0.0,0.03571428571428571,0.027777777777777776,0.0,0.059027777777777776,0.1111111111111111,0.14930555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14962121212121213,0.19507575757575757,0.6553030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,10-2,10.0,2000.0,0.39015151515151514,0.2121212121212121,0.17424242424242425,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.13257575757575757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,10-2,10.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,10-2,10.0,2000.0,0.6214285714285713,0.24285714285714288,0.1,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,10-2,10.0,2000.0,0.5,0.2777777777777778,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,10-2,10.0,2000.0,0.20833333333333331,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.25,0.125,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,10-2,10.0,2000.0,0.0,0.0,0.0,0.0625,0.041666666666666664,0.045454545454545456,0.2178030303030303,0.3181818181818182,0.1875,0.1268939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
