subject,strategy,condition,l_length,pres_rate,serial_position,ln_39,ln_38,ln_37,ln_36,ln_35,ln_34,ln_33,ln_32,ln_31,ln_30,ln_29,ln_28,ln_27,ln_26,ln_25,ln_24,ln_23,ln_22,ln_21,ln_20,ln_19,ln_18,ln_17,ln_16,ln_15,ln_14,ln_13,ln_12,ln_11,ln_10,ln_9,ln_8,ln_7,ln_6,ln_5,ln_4,ln_3,ln_2,ln_1,lp_1,lp_2,lp_3,lp_4,lp_5,lp_6,lp_7,lp_8,lp_9,lp_10,lp_11,lp_12,lp_13,lp_14,lp_15,lp_16,lp_17,lp_18,lp_19,lp_20,lp_21,lp_22,lp_23,lp_24,lp_25,lp_26,lp_27,lp_28,lp_29,lp_30,lp_31,lp_32,lp_33,lp_34,lp_35,lp_36,lp_37,lp_38,lp_39
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.625,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,0.29166666666666663,0.6458333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.14583333333333331,0.41666666666666663,0.29166666666666663,0.3125,0.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.03571428571428571,0.4107142857142857,0.41666666666666663,0.3333333333333333,0.041666666666666664,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.25,0.27777777777777773,0.29166666666666663,0.5833333333333333,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.125,0.0,0.16666666666666666,0.125,0.0625,0.22916666666666666,0.4375,0.14583333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.16666666666666666,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.4571428571428572,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.16666666666666666,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19444444444444442,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.26666666666666666,0.35555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3958333333333333,0.0625,0.16666666666666666,0.125,0.18333333333333335,0.0,0.0625,0.20833333333333331,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
