subject,strategy,condition,l_length,pres_rate,tcl
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,0.7823003822976767
A1UOP419O6P55R,prim,15-2,15.0,2000.0,0.9566215289865858
A1WM3INNDW2776,ns,15-2,15.0,2000.0,0.7485196540097109
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,0.8577081129298391
A2113B699TVADG,prim,15-2,15.0,2000.0,0.9404483090854618
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,0.7025971944502958
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,0.7222584617029061
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,0.7191448296017989
A233LLG8YAXWF,rec,15-2,15.0,2000.0,0.6777479602628412
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,0.7310200311687084
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,0.5552780750650913
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,0.7095860545178727
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,0.9286742049032439
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,0.8712629702473453
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,0.662531522329474
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,0.703320437603882
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,0.8217002839119655
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,0.9436388087759503
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,0.7442000973747006
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,0.6446570025680889
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,0.8381763781807184
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,0.9622470940748995
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,0.8784600176096049
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,0.7295935643666299
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,0.8078997650277412
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,0.8285106511491455
A310Y949ILSN3P,prim,15-2,15.0,2000.0,0.9517991742150179
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,0.7702012129284856
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,0.9273584406985944
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,0.7948843231253372
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,0.8354373207347706
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,0.6660800173151363
A35VI4SE31HD17,prim,15-2,15.0,2000.0,0.8376693607639788
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,0.9358427408254926
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,0.8056203338873513
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,0.8038778699843829
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,0.803854976042476
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,0.8836430373224091
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,0.7039526795404772
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,0.90684358516622
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,0.6772488495851591
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,0.7590700709551632
A3HOPYBWSR1TWR,prim,15-2,15.0,2000.0,0.8683727217120017
A3IBDJ12CRTQQN,prim,15-2,15.0,2000.0,0.903140396208888
A3IHTJXHWPQ2JR,rec,15-2,15.0,2000.0,0.8408819174635824
A3MWLHSW9B9RHU,prim,15-2,15.0,2000.0,0.9638554579973231
A3ORKXM3WG8QJ9,prim,15-2,15.0,2000.0,0.9603669018108614
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,0.7464087757123979
A3U27ZHUGOPIAN,prim,15-2,15.0,2000.0,0.7496017839900866
A3UA50A6GKNAMR,prim,15-2,15.0,2000.0,0.7729403104313199
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,0.8044711739429001
A3UGB3B1S74HR9,prim,15-2,15.0,2000.0,0.8887529966238367
A3UUW04QL49RSC,prim,15-2,15.0,2000.0,0.8963020273102118
A6HDSE80LQPR8,rec,15-2,15.0,2000.0,0.6771852524679906
AAOOH6P4HHSCS,prim,15-2,15.0,2000.0,0.9009213870036534
ADGJXUEMPLTMS,prim,15-2,15.0,2000.0,0.8040702154612465
AEF1G6YE8RIB8,prim,15-2,15.0,2000.0,0.8732678777301341
AERGHZBQFT309,ns,15-2,15.0,2000.0,0.7388624008610989
AESZJEZTZEW01,ns,15-2,15.0,2000.0,0.861807504627107
AEX1I7K7OVHHC,rec,15-2,15.0,2000.0,0.8285961083018712
AEXRVIK8SKB4V,prim,15-2,15.0,2000.0,0.8208868561993561
AF0W4ZBY7VXOU,rec,15-2,15.0,2000.0,0.6187261303648952
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,0.743119717508922
AGANKP4PUZ4NC,prim,15-2,15.0,2000.0,0.7155877448869872
AHY3YAYJLTW32,rec,15-2,15.0,2000.0,0.7090311957043728
AL9SYQEUTNJXT,prim,15-2,15.0,2000.0,0.9331356818596684
ALDQRWYZ8KQ9A,rec,15-2,15.0,2000.0,0.7330459697803356
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,0.6993405851478768
AOIR8V07FYMH5,rec,15-2,15.0,2000.0,0.6782801519743483
AR0VJ5XRG16UJ,rec,15-2,15.0,2000.0,0.7402663531258071
AU5UJIZ3TLI5M,rec,15-2,15.0,2000.0,0.7966242905237482
AW2UVK63OLFW,ns,15-2,15.0,2000.0,0.718087078065433
AW5O1RK3W60FC,rec,15-2,15.0,2000.0,0.684986703625801
AWRY5SC68T0DC,prim,15-2,15.0,2000.0,0.8785300374183064
AWTCGY2CL1T68,prim,15-2,15.0,2000.0,0.9301249415530056
AXSBX0MCQNG3A,prim,15-2,15.0,2000.0,0.9134212830801204
A14WLAP6TCEKO0,rec,30-1,30.0,1000.0,0.7067218887058133
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,0.6918440385912608
A16335MOISDG1F,rec,30-1,30.0,1000.0,0.7490199109132263
A17FJLW818UEQU,rec,30-1,30.0,1000.0,0.714026330662636
A186PT9ZLO5EJD,prim,30-1,30.0,1000.0,0.9473906193781083
A1AS1H21O9896X,ns,30-1,30.0,1000.0,0.8039616088135975
A1AYTKAQT201ZV,prim,30-1,30.0,1000.0,0.9041303515433284
A1EII5EWOTBDK9,rec,30-1,30.0,1000.0,0.6777951465186749
A1F9KLZGHE9DTA,rec,30-1,30.0,1000.0,0.7622926038537975
A1IGKJ200N82S9,rec,30-1,30.0,1000.0,0.7823047150954034
A1KGUJMWDCPSYG,rec,30-1,30.0,1000.0,0.6727931264109536
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,0.6552417976070488
A1MG8KNVSVZ365,prim,30-1,30.0,1000.0,0.8547987297256797
A1MKEILXWWLBW2,rec,30-1,30.0,1000.0,0.6974611064844308
A1O67YS3DU0ZHX,rec,30-1,30.0,1000.0,0.8046188218649409
A1Q0G8JA5EZ8EI,rec,30-1,30.0,1000.0,0.8111718066690314
A1SLJKNSNHOJRN,rec,30-1,30.0,1000.0,0.7348910529539437
A1T2P6E67251U5,prim,30-1,30.0,1000.0,0.9375763921926543
A1U4WS9KJMADV,rec,30-1,30.0,1000.0,0.6669709166630732
A1X4T3QSIE8YYX,prim,30-1,30.0,1000.0,0.9418698167408284
A225J5T6WHO2MG,prim,30-1,30.0,1000.0,0.9094833379338295
A23KDD6OPM4NJ0,prim,30-1,30.0,1000.0,0.8553077143725195
A25Y3D2Y2DR8WM,prim,30-1,30.0,1000.0,0.8957797748409533
A26XKTGGGYBI4J,prim,30-1,30.0,1000.0,0.8894694936002737
A28OD52SMLYQ16,rec,30-1,30.0,1000.0,0.7614335369842851
A28TA25NJGLL3Y,prim,30-1,30.0,1000.0,0.8711599471809858
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,0.7434143536052468
A2ASRB2MTHDHPD,prim,30-1,30.0,1000.0,0.9691257878654701
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,0.7034965667532257
A2E2SLXF4KQ3S1,prim,30-1,30.0,1000.0,0.951305437900187
A2FJIZUHR6E4EZ,prim,30-1,30.0,1000.0,0.9298938953131877
A2G2T6EMXAOKMS,rec,30-1,30.0,1000.0,0.6724782426391039
A2GRA6N98ZPIQ1,prim,30-1,30.0,1000.0,0.9438300363920472
A2IKLJWU2OJ1YX,prim,30-1,30.0,1000.0,0.8625367276458493
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,0.8011246344270031
A2MV1R6YYOIO30,prim,30-1,30.0,1000.0,0.8107035939890069
A2NU82V08QSPCC,prim,30-1,30.0,1000.0,0.6491485241253399
A2NY0VWEWDULC6,rec,30-1,30.0,1000.0,0.7655140065982143
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,0.8238028398566455
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,0.8264180244785599
A2PUL3ZDXOW0VZ,rec,30-1,30.0,1000.0,0.6522064985672513
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,0.6318673688004245
A2VZN8J53Y5WYR,prim,30-1,30.0,1000.0,0.9432667879460418
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,0.8215225899232727
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,0.7133406672396867
A2ZGAH6NOSU2PO,rec,30-1,30.0,1000.0,0.682337270910375
A30DHHAL100LZR,ns,30-1,30.0,1000.0,0.8489570408679445
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,0.8385635803228578
A34DYM8J0X5VK,rec,30-1,30.0,1000.0,0.6922434527396224
A36IB78C6MVA3,prim,30-1,30.0,1000.0,0.8957271164571351
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,0.8448916624748798
A3AY0315YWWNXY,rec,30-1,30.0,1000.0,0.8363083351877773
A3EUH97BRHRSI6,rec,30-1,30.0,1000.0,0.6819015640950588
A3I97794CB5SUO,rec,30-1,30.0,1000.0,0.6878775396624818
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,0.8543406940956463
A3TX84QHD321M7,prim,30-1,30.0,1000.0,0.9025136771921584
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,0.7542188779679002
A3UQ5DF8VVD975,rec,30-1,30.0,1000.0,0.7656135383305585
A3V71NT2X4HD1I,prim,30-1,30.0,1000.0,0.9039591482001785
A51TGVVYJF7T0,prim,30-1,30.0,1000.0,0.8795279750673275
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,0.6971589751044875
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,0.6611953636398643
ACBROX4H8BSW3,rec,30-1,30.0,1000.0,0.7032979599119108
ADJ9I7ZBFYFH7,rec,30-1,30.0,1000.0,0.6752098110263487
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,0.707546630360516
AH7HACNNRSIPO,ns,30-1,30.0,1000.0,0.7905416709536527
AIDU49N2KO05N,ns,30-1,30.0,1000.0,0.8513385628129925
AJUVX0E4OPTAO,prim,30-1,30.0,1000.0,0.8811240964849357
AK3GAHRZ6M6WM,rec,30-1,30.0,1000.0,0.7584197101075867
AKE4AYF86KJVU,rec,30-1,30.0,1000.0,0.7080624384559207
AKNBC1TE88NDO,rec,30-1,30.0,1000.0,0.5804735778312877
AKX4H8RT7BL7H,rec,30-1,30.0,1000.0,0.7511978614055365
AOYDGVOZUIHII,prim,30-1,30.0,1000.0,0.9109088034912881
AP4B1GJIT3HYF,ns,30-1,30.0,1000.0,0.7719199444211222
AXFH1DT8PR0K2,prim,30-1,30.0,1000.0,0.889846672537695
AXFP50XOZD2NI,rec,30-1,30.0,1000.0,0.6899662747252551
A12LX24NC3FP2U,ns,20-2,20.0,2000.0,0.7498790085511025
A161VPQSXLLV8U,ns,20-2,20.0,2000.0,0.8665884987723018
A166P9BSWIFF32,prim,20-2,20.0,2000.0,0.882119637405663
A17IPELR5NC2LZ,prim,20-2,20.0,2000.0,0.8753712218422868
A17TMQWTCJVOV5,rec,20-2,20.0,2000.0,0.6840639331940905
A1CB9NR3SN4VMY,prim,20-2,20.0,2000.0,0.9303445032318837
A1FM638CHGPC1M,ns,20-2,20.0,2000.0,0.8699235747556059
A1HENLDLQEO5BZ,prim,20-2,20.0,2000.0,0.977382081591501
A1J39RAV7TKEMF,ns,20-2,20.0,2000.0,0.7429202019839274
A1JL3HCA0MK9UI,prim,20-2,20.0,2000.0,0.8266903614424862
A1L5A88C9PPK5L,prim,20-2,20.0,2000.0,0.9597667894999717
A1LA6CIGBNDOH9,rec,20-2,20.0,2000.0,0.6261828489584018
A1MD74JPL7E9PK,prim,20-2,20.0,2000.0,0.8626418438266866
A1O0K8V58YRL4A,ns,20-2,20.0,2000.0,0.750293355841646
A1PTX4IB9R34LI,rec,20-2,20.0,2000.0,0.572180207441773
A1S2EXYEG5I8HW,rec,20-2,20.0,2000.0,0.7256343957645305
A1SJLXB0XFCJ97,prim,20-2,20.0,2000.0,0.7635090714492815
A1TPGXT718D68E,rec,20-2,20.0,2000.0,0.7094462265599047
A1TVWMWE03AWAW,rec,20-2,20.0,2000.0,0.8126308987951743
A1VEOI1H4AE1T3,prim,20-2,20.0,2000.0,0.9574081009026824
A1WT2CM71Z9MP3,prim,20-2,20.0,2000.0,0.6868416015265708
A20YXCVKHSTSPC,prim,20-2,20.0,2000.0,0.9447894655729068
A2147HO7VBGJCU,prim,20-2,20.0,2000.0,0.8933093789552431
A248QG4DPULP46,ns,20-2,20.0,2000.0,0.6476491099628792
A25S9Y5DZ9OR16,prim,20-2,20.0,2000.0,0.8172845497039628
A25VK411P03A5T,rec,20-2,20.0,2000.0,0.8148744999577
A289D98Z4GAZ28,prim,20-2,20.0,2000.0,0.7038854922533472
A2BTEQA95MCIHU,prim,20-2,20.0,2000.0,0.8497134226698266
A2E8PL8ZWIZVJ0,prim,20-2,20.0,2000.0,0.9630331465967609
A2I6HVUDBTGD1,prim,20-2,20.0,2000.0,0.918515911828386
A2KHR0GTA0DBWI,rec,20-2,20.0,2000.0,0.8820691057372315
A2KT30RCVX67ZS,prim,20-2,20.0,2000.0,0.9497886527481968
A2MMGDAA7JJKIE,prim,20-2,20.0,2000.0,0.9255736515335734
A2MOKIEQZ0OF2M,prim,20-2,20.0,2000.0,0.9117331712772355
A2NZ783AY1LBPW,prim,20-2,20.0,2000.0,0.8722605845282912
A2NZAL7KHOR6VF,rec,20-2,20.0,2000.0,0.706095702057451
A2OOS7IXSKJFFI,ns,20-2,20.0,2000.0,0.8017678451082907
A2P2YEHX1FXD20,rec,20-2,20.0,2000.0,0.8894053149803908
A2QHI85LQPJZYP,prim,20-2,20.0,2000.0,0.8179105471216291
A2SSY7MHPDQVUS,prim,20-2,20.0,2000.0,0.8522645825299298
A2UX2W49R55PH4,prim,20-2,20.0,2000.0,0.7286468078832911
A2VIKCIM9TZL22,rec,20-2,20.0,2000.0,0.7692861531928772
A2XGHLVP2C1FVA,ns,20-2,20.0,2000.0,0.7487374976041988
A2XVLOZY7FJCC2,rec,20-2,20.0,2000.0,0.5981162693282356
A2ZVBFH732LYXQ,prim,20-2,20.0,2000.0,0.9693172731231363
A304UJAE051J89,rec,20-2,20.0,2000.0,0.7444496124435263
A312HQ3OU0EYTB,rec,20-2,20.0,2000.0,0.6674946150274407
