subject,strategy,condition,l_length,pres_rate,ln_39,ln_38,ln_37,ln_36,ln_35,ln_34,ln_33,ln_32,ln_31,ln_30,ln_29,ln_28,ln_27,ln_26,ln_25,ln_24,ln_23,ln_22,ln_21,ln_20,ln_19,ln_18,ln_17,ln_16,ln_15,ln_14,ln_13,ln_12,ln_11,ln_10,ln_9,ln_8,ln_7,ln_6,ln_5,ln_4,ln_3,ln_2,ln_1,lp_1,lp_2,lp_3,lp_4,lp_5,lp_6,lp_7,lp_8,lp_9,lp_10,lp_11,lp_12,lp_13,lp_14,lp_15,lp_16,lp_17,lp_18,lp_19,lp_20,lp_21,lp_22,lp_23,lp_24,lp_25,lp_26,lp_27,lp_28,lp_29,lp_30,lp_31,lp_32,lp_33,lp_34,lp_35,lp_36,lp_37,lp_38,lp_39
A10HW8JXM17XLD,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04772727272727273,0.046875,0.08606907894736843,0.11095633585646202,0.06925411190117073,0.0722900017338945,0.1088142804291528,0.14138025343690822,0.27700786711371156,0.24534313725490195,0.21029646126185025,0.2785579004329004,0.2348373440285205,0.13055555555555554,0.1388888888888889,0.047619047619047616,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12K1ADYMRSWMJ,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.05,0.0,0.019230769230769232,0.0,0.020833333333333332,0.03229166666666666,0.8884011519881085,0.09715447154471545,0.005813953488372093,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14E4ISXVJVY6F,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9965277777777778,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A169XTOCOMO1MV,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19444444444444442,0.07142857142857142,0.020833333333333332,0.020833333333333332,0.016666666666666666,0.02606951871657754,0.011363636363636364,0.16362314156431804,0.23928571428571427,0.4884326018808778,0.27870933414411675,0.06583333333333333,0.02857142857142857,0.0,0.0,0.0,0.05,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18NXRDHQ0ZSOY,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.05277777777777778,0.05,0.10826648841354723,0.1286967418546366,0.10339912280701755,0.18305152979066022,0.2819525904203324,0.4014117826617827,0.20113007703081232,0.060892172961138476,0.05062134502923976,0.08697755417956657,0.0,0.022727272727272728,0.11904761904761904,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.044407894736842105,0.07631578947368421,0.12259615384615385,0.13036434331797236,0.09515432967445352,0.06271986271986271,0.12495196245196244,0.14351673101673101,0.37533783783783786,0.22052611367127495,0.13982776482776482,0.15058479532163743,0.175,0.17083333333333334,0.03125,0.1111111111111111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4215909090909091,0.037500000000000006,0.07446827366182204,0.03978996231271256,0.05150462962962963,0.02733554014291719,0.03663891163891164,0.055318813131313135,0.13354166666666667,0.8331759906759907,0.1369619883640861,0.06274261234481553,0.010416666666666666,0.041666666666666664,0.05555555555555555,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.05,0.14087301587301587,0.027777777777777776,0.06902356902356901,0.13536395074224022,0.09257305194805195,0.115625,0.46014884262937655,0.230802701197438,0.09325396825396826,0.06960227272727273,0.03333333333333333,0.0,0.017857142857142856,0.041666666666666664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.05555555555555555,0.09027777777777778,0.0,0.0,0.09027777777777778,0.10876623376623376,0.08869047619047618,0.34656593406593406,0.18092463092463093,0.14365079365079364,0.09607843137254901,0.09027777777777778,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022727272727272728,0.04261363636363637,0.046919473434535106,0.08428362573099416,0.06448439095717048,0.1025311331327586,0.07406794277994885,0.21247855917667238,0.33631431204960616,0.3968531468531469,0.19873708280966346,0.13947144075021312,0.24816849816849818,0.10512820512820513,0.03571428571428571,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.0,0.07142857142857142,0.0,0.0,0.0,0.06666666666666667,0.10869565217391304,0.5226550079491257,0.24891774891774893,0.14583333333333331,0.037037037037037035,0.042727272727272725,0.0,0.0,0.0625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9061451014832163,0.10208964458477195,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.022727272727272728,0.7027205531041848,0.30198412698412697,0.019230769230769232,0.025,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.045454545454545456,0.0,0.597985347985348,0.319078947368421,0.027777777777777776,0.06274509803921569,0.03571428571428571,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.08333333333333333,0.022727272727272728,0.08166666666666667,0.10989010989010989,0.09523809523809523,0.029411764705882353,0.14784946236559138,0.165,0.5480392156862746,0.12857142857142856,0.11375,0.06628787878787878,0.07173913043478261,0.125,0.03125,0.16666666666666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12916666666666665,0.023809523809523808,0.027554771001595976,0.05849967614673497,0.04551284252991282,0.07220681773007355,0.11039256130431924,0.0804333934374257,0.22707792207792207,0.6380860974610975,0.17812151616499441,0.16160714285714287,0.1,0.3125,0.041666666666666664,0.1111111111111111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.10416666666666666,0.05555555555555555,0.10714285714285714,0.06944444444444445,0.12398018648018648,0.09523809523809523,0.09444444444444444,0.1028409090909091,0.468230076293777,0.1778799903799904,0.0732142857142857,0.09457236842105263,0.0796783625730994,0.017857142857142856,0.0,0.09027777777777778,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.007575757575757576,0.03941666411332741,0.04013861518420789,0.07502291650752425,0.16352058578456552,0.14565972222222223,0.36054421768707484,0.7943181818181818,0.09126984126984126,0.06666666666666667,0.0625,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.06796536796536796,0.1354557207498384,0.12600267379679145,0.06040903540903541,0.07140350877192983,0.06367102396514161,0.1237972642637957,0.20146107646107647,0.48289634146341465,0.2341887978060953,0.09233080328905756,0.08311315121659948,0.07354070660522273,0.051666666666666666,0.038461538461538464,0.05555555555555556,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19444444444444442,0.4523809523809524,0.125,0.20384615384615384,0.2576884920634921,0.18190993788819876,0.1458994708994709,0.14554825761722312,0.11801470588235294,0.11202090592334495,0.2036792036792037,0.13328177141268077,0.20753536922015184,0.18658661847306013,0.1718954248366013,0.11199095022624435,0.048611111111111105,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.019230769230769232,0.013888888888888888,0.014705882352941176,0.02976190476190476,0.7473711965406318,0.2361352189321858,0.02734071484071484,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.18023643023643024,0.09950657894736842,0.08524027459954234,0.022727272727272728,0.05208333333333333,0.09894407954752782,0.07664835164835165,0.22018716577540107,0.6133333811890225,0.17345028143822824,0.06020021645021645,0.03739316239316239,0.020833333333333332,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.08333333333333333,0.03571428571428571,0.0,0.019230769230769232,0.03333333333333333,0.06776403743315508,0.06787330316742082,0.17700026581605527,0.4317140296979007,0.23368298368298368,0.11782398635846912,0.11451298701298701,0.08854091751116923,0.05033390167661267,0.05915032679738562,0.054945054945054944,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.125,0.03125,0.08522727272727273,0.032388663967611336,0.10902777777777778,0.08703007518796993,0.11728778467908903,0.12154150197628458,0.6819923978460564,0.11001991751938696,0.09540343915343916,0.04791666666666666,0.026785714285714284,0.0,0.014705882352941176,0.027777777777777776,0.10416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27T2Z568L69U1,prim,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.08333333333333333,0.0,0.027777777777777776,0.017857142857142856,0.03835227272727273,0.011904761904761904,0.031746031746031744,0.010869565217391304,0.7575413640032285,0.16068943706514865,0.05752580752580753,0.02566701316701317,0.022770398481973434,0.0,0.027777777777777776,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282UM3NAIM0YO,ns,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.09027777777777778,0.1837797619047619,0.11583646616541353,0.14113386613386614,0.12762254901960784,0.07006808980493191,0.15467980295566502,0.13274198568316214,0.3802191881394468,0.1616161616161616,0.20042815577207823,0.039705882352941174,0.07589469354175236,0.1392857142857143,0.08522727272727273,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
