"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",0.0874228365242795,0.00995437325263328,440,8.78235468025605,0
"ns - rec",-0.0491014077334622,0.0103796195698807,440,-4.73055947791608,9.00978377860184e-06
"prim - rec",-0.136524244257742,0.00980550829369169,440,-13.9232194975118,0
