condition,l_length,pres_rate,t_stat,p_val,dof,p_val_fdr
10-2,10.0,2000.0,-14.726528516581629,5.513721945290349e-23,69,1.3931509988063099e-22
15-2,15.0,2000.0,-15.164494380826305,9.233052172086875e-27,92,6.786293346483852e-26
20-2,20.0,2000.0,-16.585370778689864,1.8139539360601077e-26,73,8.888374286694527e-26
20-1,20.0,1000.0,-16.078692443268263,4.955468781843257e-25,69,1.8211347773273966e-24
30-1,30.0,1000.0,-14.210544373655745,5.686330607372694e-23,75,1.3931509988063099e-22
40-1,40.0,1000.0,-18.013191257820168,2.1988148978115286e-28,72,3.232257899782947e-27
