"","Sum Sq","Df","F value","Pr(>F)","mse"
"(Intercept)",0.0698343433324826,1,1.92609526288942,0.16596861567336,0.0698343433324826
"strategy",0.181072257613334,2,2.49706950038371,0.0836247628608563,0.0905361288066668
"l_length",0.124728743323324,4,0.86003329521343,0.488000909496323,0.031182185830831
"pres_rate",0.0606519166275756,1,1.6728355093904,0.196635029364337,0.0606519166275756
"strategy:l_length",0.300101932276053,8,1.03463582987542,0.409104310154681,0.0375127415345067
"strategy:pres_rate",0.00339800883890362,2,0.046860100743758,0.954226186889132,0.00169900441945181
"Residuals",14.3214960068745,395,NA,NA,0.0362569519161379
