"","Sum Sq","Df","F value","Pr(>F)","mse"
"(Intercept)",0.475006246338097,1,15.5385459824755,9.40819545571109e-05,0.475006246338097
"strategy",0.180640887931265,2,2.95458929758714,0.0531394242317757,0.0903204439656324
"l_length",0.0915159350641268,4,0.748424139727532,0.559447947047627,0.0228789837660317
"pres_rate",0.0522452234809112,1,1.70906133062726,0.191793048376594,0.0522452234809112
"strategy:l_length",0.660194324853038,8,2.69955920400586,0.0065744735888295,0.0825242906066297
"strategy:pres_rate",0.250339881251058,2,4.09459642484184,0.0173044938770419,0.125169940625529
"Residuals",13.3894597429341,438,NA,NA,0.030569542792087
