"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-629.809707387413,258.980611890992,440,-2.43187975651439,0.0407665599632453
"ns - rec",1632.4264587031,270.044146344654,440,6.04503552770831,9.54047763013222e-09
"prim - rec",2262.23616609051,255.107626904657,440,8.86777158934567,0
