"","Sum Sq","Df","F value","Pr(>F)","mse"
"(Intercept)",80074168.3313835,1,17.0214231063158,4.42445967470145e-05,80074168.3313835
"strategy",37488091.7393243,2,3.98443520701126,0.0192812340982309,18744045.8696622
"l_length",29392456.8380632,4,1.56199388142354,0.18345125254709,7348114.20951581
"pres_rate",2966018.98220396,1,0.630488771716294,0.427606063651525,2966018.98220396
"strategy:l_length",47414185.5841894,8,1.25985840828514,0.262742083257234,5926773.19802368
"strategy:pres_rate",15574052.9725671,2,1.65529377732133,0.192228709641362,7787026.48628354
"Residuals",2060490800.92089,438,NA,NA,4704316.89707966
