"","Sum Sq","Df","F value","Pr(>F)","mse"
"(Intercept)",170.375503458834,1,24.5329701196624,1.04498389594364e-06,170.375503458834
"strategy",5.98467670080709,2,0.430877361170102,0.650213800862456,2.99233835040354
"l_length",305.870475649717,4,11.0108423559472,1.61953098763499e-08,76.4676189124293
"pres_rate",6.63462787858498,1,0.955343486569546,0.328902406593831,6.63462787858498
"strategy:l_length",88.4662595295345,8,1.5923211212702,0.124757128880355,11.0582824411918
"strategy:pres_rate",1.06695175886034,2,0.0768170748958828,0.926071710902067,0.533475879430171
"Residuals",3041.80334264379,438,NA,NA,6.94475649005432
