condition,l_length,pres_rate,t_stat,p_val,dof,p_val_fdr
10-2,10.0,2000.0,0.3673459432836183,0.7144853011968917,69,1.0
15-2,15.0,2000.0,2.0568110808253337,0.04253580871386937,92,0.3126381940469398
20-2,20.0,2000.0,0.4934833194705926,0.6231525402183615,73,1.0
20-1,20.0,1000.0,0.5364815111190813,0.5933513341293016,69,1.0
30-1,30.0,1000.0,3.414273013165788,0.0010347518846306508,75,0.015210852704070566
40-1,40.0,1000.0,-0.450752442057543,0.6535225155496633,72,1.0
