condition,l_length,pres_rate,prim_t_stat,prim_p_val,prim_dof,rec_t_stat,rec_p_val,rec_dof,prim_p_val_fdr,rec_p_val_fdr
10-2,10.0,2000.0,-2.7859750176744167,0.0068851751911119434,69,6.198752824340593,3.639420916782172e-08,69,0.021366149174409828,2.710533564350816e-07
15-2,15.0,2000.0,-3.98580961191917,0.00013457763983063559,92,4.375055437071414,3.198003312897869e-05,92,0.00045558847524089345,0.0001323210403938372
20-1,20.0,1000.0,-6.3559386338112,1.8240375151701384e-08,70,7.157563980009863,6.441324176706008e-10,70,1.6981118083598536e-07,1.1993271580182413e-08
20-2,20.0,2000.0,-5.185090070966246,1.8131778907942015e-06,74,4.031785745432489,0.00013309783934732332,74,8.44000948831212e-06,0.00045558847524089345
30-1,30.0,1000.0,-5.920553592709004,9.011335496675736e-08,75,6.6589000743450075,4.0185358204048926e-09,75,4.959260358308362e-07,4.988145307461028e-08
40-1,40.0,1000.0,-7.146750758767326,5.923042944381231e-10,72,5.938440688982049,9.322286417717327e-08,72,1.1993271580182413e-08,4.959260358308362e-07
