"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-0.114605581475793,0.00867033961144615,440,-13.2181190831898,0
"ns - rec",0.0403907314734886,0.00904073259305112,440,4.46763921593408,2.99389422764307e-05
"prim - rec",0.154996312949281,0.00854067702822664,440,18.1480124394148,0
