"contrast","estimate","SE","df","t.ratio","p.value"
"ns - prim",-0.272098630821232,0.0210178494063294,438,-12.9460738613576,0
"ns - rec",0.105917822002531,0.0218999858727064,438,4.83643334832169,5.4729263282427e-06
"prim - rec",0.378016452823763,0.0206826901706152,438,18.2769480036416,0
